scope,test_year,n_samples,accuracy,accuracy_status,accuracy_reason,precision_phase3plus,precision_status,precision_reason,sensitivity_phase3plus,sensitivity_status,sensitivity_reason,r2_phase3plus,r2_status,r2_reason,f2_phase3plus,f2_status,f2_reason
overall,2022,5599,0.5611716377924629,ok,,0.7742316784869976,ok,,0.732662192393736,ok,,0.39298051455763316,ok,,0.740615106286748,ok,
overall,2023,6064,0.5956464379947229,ok,,0.7074198988195616,ok,,0.9063737846597048,ok,,0.47948388242273576,ok,,0.8581071866903042,ok,
overall,2024,5127,0.6155646576945583,ok,,0.688026363969242,ok,,0.8078245915735167,ok,,0.37783931480377264,ok,,0.7806398005816368,ok,
overall,2025,11415,0.5138852387209811,ok,,0.5788572004434143,ok,,0.9566955363091273,ok,,0.2087572838716686,ok,,0.846224107958396,ok,
