scope,test_year,n_samples,accuracy,precision_phase3plus,sensitivity_phase3plus,r2_phase3plus,f2_phase3plus
overall,2022,5599,0.540632256,0.704738761,0.8650261,0.343517226,0.827389444
overall,2023,6064,0.575362797,0.692166141,0.948145481,0.507980296,0.88284603
overall,2024,5127,0.618880437,0.660413355,0.892949269,0.38474279,0.83420355
overall,2025,11415,0.45238721,0.529038512,0.999833444,0.23280745,0.848768487
