test_year,horizon,arm,method,n,f2,precision,recall,f1,accuracy,macro_f1,p4plus_recall,pred_p3_share,r2_q3
2025,0,A,canonical_0.2,1876,0.8546135512427647,0.5438786565547129,0.997020854021847,0.7038205397826849,0.4968017057569296,0.17667828893892382,0.0,0.9818763326226013,-0.3825627792629469
2025,0,A,val_global_th_f2,1876,0.8528116531165312,0.5367803837953091,1.0,0.6985778702740201,0.46588486140724944,0.17206372652458324,0.045454545454545456,0.9536247334754797,-0.3825627792629469
2025,0,A,val_global_th_macro_f1,1876,0.3594420600858369,0.5300632911392406,0.3326713008937438,0.40878584502745574,0.45149253731343286,0.24330391946161659,0.0,0.3368869936034115,-0.3825627792629469
2025,0,A,val_isotonic_calib_0.2,1876,0.7528357116721551,0.5723226703755215,0.817279046673287,0.6732106339468302,0.5154584221748401,0.24556962319935416,0.0,0.7665245202558635,0.014048907669922839
2025,0,A,val_isotonic_then_perphase_macro_f1,1876,0.23744603499204725,0.5603217158176944,0.20754716981132076,0.30289855072463767,0.4450959488272921,0.28438069538164135,0.0,0.19562899786780383,0.014048907669922839
2025,0,A,val_perphase_th_accuracy,1876,0.4110312764158918,0.5525568181818182,0.38629592850049654,0.4547048509643483,0.4157782515991471,0.18633465690709056,0.06818181818181818,0.2878464818763326,-0.3825627792629469
2025,0,A,val_perphase_th_macro_f1,1876,0.4110312764158918,0.5525568181818182,0.38629592850049654,0.4547048509643483,0.40458422174840086,0.2351620387094421,0.06818181818181818,0.285181236673774,-0.3825627792629469
2025,0,A,val_shift_calib_0.2,1876,0.730804810360777,0.5737109658678287,0.7845084409136047,0.662751677852349,0.5138592750533049,0.2494493040480143,0.0,0.7340085287846482,-0.0021301433307232553
2025,0,B,canonical_0.2,1876,0.843147294760198,0.539595849262698,0.9811320754716981,0.6962649753347427,0.48880597014925375,0.17636801428861026,0.0,0.9722814498933902,-0.1967682539367015
2025,0,B,val_global_th_f2,1876,0.8528116531165312,0.5367803837953091,1.0,0.6985778702740201,0.4429637526652452,0.18133611849601214,0.14772727272727273,0.9136460554371002,-0.1967682539367015
2025,0,B,val_global_th_macro_f1,1876,0.0392156862745098,0.6153846153846154,0.031777557100297914,0.06043437204910293,0.43176972281449894,0.24465124026650178,0.0,0.02771855010660981,-0.1967682539367015
2025,0,B,val_isotonic_calib_0.2,1876,0.4437808896210873,0.5205314009661836,0.42800397219463754,0.46975476839237057,0.4546908315565032,0.23464068990258108,0.0,0.44136460554371004,-0.027270284034997427
2025,0,B,val_isotonic_then_perphase_macro_f1,1876,0.34863577306193155,0.5457627118644067,0.31976166832174774,0.4032561051972448,0.4184434968017058,0.27743277778370173,0.0,0.30970149253731344,-0.027270284034997427
2025,0,B,val_perphase_th_accuracy,1876,0.4359616186900292,0.5456919060052219,0.41509433962264153,0.4715172024816695,0.2990405117270789,0.18810819488789074,0.18181818181818182,0.08955223880597014,-0.1967682539367015
2025,0,B,val_perphase_th_macro_f1,1876,0.29359430604982206,0.5641025641025641,0.26216484607745777,0.3579661016949153,0.4429637526652452,0.2433092713737875,0.022727272727272728,0.23720682302771856,-0.1967682539367015
2025,0,B,val_shift_calib_0.2,1876,0.446611909650924,0.5166270783847982,0.43197616683217477,0.4705246078961601,0.4504264392324094,0.2326435960603101,0.0,0.44776119402985076,-0.06902905666807224
2025,0,C,canonical_0.2,1876,0.843147294760198,0.539595849262698,0.9811320754716981,0.6962649753347427,0.48880597014925375,0.17636801428861026,0.0,0.9722814498933902,-0.1967682539367015
2025,0,C,val_global_th_f2,1876,0.8528116531165312,0.5367803837953091,1.0,0.6985778702740201,0.4429637526652452,0.18133611849601214,0.14772727272727273,0.9136460554371002,-0.1967682539367015
2025,0,C,val_global_th_macro_f1,1876,0.0392156862745098,0.6153846153846154,0.031777557100297914,0.06043437204910293,0.43176972281449894,0.24465124026650178,0.0,0.02771855010660981,-0.1967682539367015
2025,0,C,val_isotonic_calib_0.2,1876,0.4437808896210873,0.5205314009661836,0.42800397219463754,0.46975476839237057,0.4546908315565032,0.23464068990258108,0.0,0.44136460554371004,-0.027270284034997427
2025,0,C,val_isotonic_then_perphase_macro_f1,1876,0.34863577306193155,0.5457627118644067,0.31976166832174774,0.4032561051972448,0.4184434968017058,0.27743277778370173,0.0,0.30970149253731344,-0.027270284034997427
2025,0,C,val_perphase_th_accuracy,1876,0.4359616186900292,0.5456919060052219,0.41509433962264153,0.4715172024816695,0.2990405117270789,0.18810819488789074,0.18181818181818182,0.08955223880597014,-0.1967682539367015
2025,0,C,val_perphase_th_macro_f1,1876,0.29359430604982206,0.5641025641025641,0.26216484607745777,0.3579661016949153,0.4429637526652452,0.2433092713737875,0.022727272727272728,0.23720682302771856,-0.1967682539367015
2025,0,C,val_shift_calib_0.2,1876,0.446611909650924,0.5166270783847982,0.43197616683217477,0.4705246078961601,0.4504264392324094,0.2326435960603101,0.0,0.44776119402985076,-0.06902905666807224
2025,0,D,canonical_0.2,1876,0.848349687778769,0.6030437539632213,0.9443892750744787,0.7360681114551083,0.5751599147121536,0.2824376297374076,0.022727272727272728,0.7985074626865671,-0.3252402478155476
