test_year,horizon,arm,auc_crisis,within_month_auc
2025,0,A,0.545450545833938,0.6412544180810068
2025,0,B,0.5021312264093806,0.4374839649085512
2025,0,C,0.5021312264093806,0.4374839649085512
2025,0,D,0.6502240358914526,0.74217481591886
2025,3,A,0.3354232804232804,0.37363131732932764
2025,3,B,0.5532804232804233,0.619230794699311
2025,3,C,0.6282010582010582,0.6760088119600409
2025,3,D,0.6125661375661375,0.7485625177330117
2025,6,A,0.7287830687830689,0.7169247343639731
2025,6,B,0.7384656084656085,0.7299683185154192
2025,6,C,0.7281481481481483,0.7266355504686004
2025,6,D,0.6683068783068783,0.7416628469609658
2025,12,A,0.4647445755161569,0.5479597342439569
2025,12,B,0.49121136057728876,0.5464935426695693
2025,12,C,0.4811114528456011,0.6417429766827533
2025,12,D,0.521577225931695,0.6115549860899357
2026,0,A,0.5510278384585224,0.5510278384585224
2026,0,B,0.5041245932692748,0.5041245932692748
2026,0,C,0.5041245932692748,0.5041245932692748
2026,0,D,0.7737889735873268,0.7737889735873268
2026,12,A,0.5812152021302348,0.5812152021302348
2026,12,B,0.4969740982812878,0.4969740982812878
2026,12,C,0.5732268215928347,0.5732268215928347
2026,12,D,0.6305979181796175,0.6305979181796175
