test_year,horizon,cohort,contrast,metric,n,n_areas,point_delta,ci_low,ci_high,interval_status,interval_reason,first_calibration,second_calibration,diagnostic_only
2025,0,share_history_subset,augmented_D_selected-share_persistence,rmse,1849,904,-0.027768856024561556,-0.0323722742793136,-0.023461583545253493,ok,,ok,ok,False
2025,0,share_history_subset,augmented_D_selected-share_persistence,auc,1849,904,-0.037590946789060053,-0.05303218923836677,-0.0214529772419094,ok,,ok,ok,False
2025,3,primary,augmented_D_direct-original_D_direct,r2,275,132,0.05265796070048068,-0.027476504552396835,0.13342108680013087,ok,,ok,ok,False
2025,3,primary,augmented_D_direct-original_D_direct,rmse,275,132,-0.0030019756247624263,-0.007400838249447419,0.0015429812146082957,ok,,ok,ok,False
2025,3,primary,augmented_D_direct-original_D_direct,auc,275,132,0.006296296296296244,-0.02139447315826103,0.03266840542164794,ok,,ok,ok,False
2025,3,primary,augmented_D_residual-original_D_residual,r2,275,132,-0.059338519289621194,-0.1268487766512896,0.008216372661737055,ok,,ok,ok,False
2025,3,primary,augmented_D_residual-original_D_residual,rmse,275,132,0.0037650358355032776,-0.0005233465549093402,0.007917868050949402,ok,,ok,ok,False
2025,3,primary,augmented_D_residual-original_D_residual,auc,275,132,0.007486772486772542,-0.027900239288025624,0.04325440816370373,ok,,ok,ok,False
2025,3,primary,augmented_D_selected-original_D_selected,r2,275,132,0.05265796070048068,-0.027476504552396835,0.13342108680013087,ok,,ok,ok,False
2025,3,primary,augmented_D_selected-original_D_selected,rmse,275,132,-0.0030019756247624263,-0.007400838249447419,0.0015429812146082957,ok,,ok,ok,False
2025,3,primary,augmented_D_selected-original_D_selected,auc,275,132,0.006296296296296244,-0.02139447315826103,0.03266840542164794,ok,,ok,ok,False
2025,3,share_history_subset,original_D_selected-share_persistence,r2,256,132,0.24774384838182084,0.046519263395095135,0.46362220847406105,ok,,ok,ok,False
2025,3,share_history_subset,original_D_selected-share_persistence,rmse,256,132,-0.013898017274786845,-0.02460114630797902,-0.002787682654324136,ok,,ok,ok,False
2025,3,share_history_subset,original_D_selected-share_persistence,auc,256,132,-0.03651822852948383,-0.07644123221276339,0.0034143643965545384,ok,,ok,ok,False
2025,3,share_history_subset,augmented_D_selected-share_persistence,r2,256,132,0.32719239931625443,0.11440099158324996,0.5484201796804334,ok,,ok,ok,False
2025,3,share_history_subset,augmented_D_selected-share_persistence,rmse,256,132,-0.018648897189954106,-0.028990676559045733,-0.006580950211710692,ok,,ok,ok,False
2025,3,share_history_subset,augmented_D_selected-share_persistence,auc,256,132,-0.028260337655982348,-0.07622476708074535,0.016616843467294248,ok,,ok,ok,False
2025,6,primary,augmented_D_direct-original_D_direct,r2,275,132,-0.1790380893138862,-0.38974411987592217,0.015809821346099814,ok,,ok,ok,False
2025,6,primary,augmented_D_direct-original_D_direct,rmse,275,132,0.011399828037909537,-0.0010829815344147932,0.02341134681476274,ok,,ok,ok,False
2025,6,primary,augmented_D_direct-original_D_direct,auc,275,132,0.026137566137566126,-0.009820511144659292,0.06429469449315392,ok,,ok,ok,False
2025,6,primary,augmented_D_residual-original_D_residual,r2,275,132,0.051027826208541294,-0.005476877152950332,0.1126567539128543,ok,,ok,ok,False
2025,6,primary,augmented_D_residual-original_D_residual,rmse,275,132,-0.0033564833264035643,-0.007387918783361388,0.00035209368263949055,ok,,ok,ok,False
2025,6,primary,augmented_D_residual-original_D_residual,auc,275,132,0.03412698412698423,-0.014485653628409567,0.07954205414375703,ok,,ok,ok,False
2025,6,primary,augmented_D_selected-original_D_selected,r2,275,132,-0.1790380893138862,-0.38974411987592217,0.015809821346099814,ok,,ok,ok,False
2025,6,primary,augmented_D_selected-original_D_selected,rmse,275,132,0.011399828037909537,-0.0010829815344147932,0.02341134681476274,ok,,ok,ok,False
2025,6,primary,augmented_D_selected-original_D_selected,auc,275,132,0.026137566137566126,-0.009820511144659292,0.06429469449315392,ok,,ok,ok,False
2025,6,share_history_subset,original_D_selected-share_persistence,r2,255,132,0.37817052086333813,0.13652396275093812,0.6463586943538783,ok,,ok,ok,False
2025,6,share_history_subset,original_D_selected-share_persistence,rmse,255,132,-0.02287161113031949,-0.036698892318868574,-0.008491913769175064,ok,,ok,ok,False
2025,6,share_history_subset,original_D_selected-share_persistence,auc,255,132,-0.01855047454702352,-0.07468418143678857,0.038368756115265634,ok,,ok,ok,False
2025,6,share_history_subset,augmented_D_selected-share_persistence,r2,255,132,0.2783989395732922,0.07466734833482977,0.5007114096972469,ok,,ok,ok,False
2025,6,share_history_subset,augmented_D_selected-share_persistence,rmse,255,132,-0.016456531635497623,-0.02810227717374002,-0.0046024281655238745,ok,,ok,ok,False
2025,6,share_history_subset,augmented_D_selected-share_persistence,auc,255,132,0.011093307038086975,-0.0366315038580103,0.05680215462180243,ok,,ok,ok,False
2025,12,primary,augmented_D_direct-original_D_direct,r2,1100,904,0.052470744028373595,-0.01972249336097252,0.1197553851129995,ok,,ok,ok,False
2025,12,primary,augmented_D_direct-original_D_direct,rmse,1100,904,-0.003172372260965284,-0.007289371482345248,0.0011494992264181297,ok,,ok,ok,False
2025,12,primary,augmented_D_direct-original_D_direct,auc,1100,904,0.12418521127459248,0.09487859887115194,0.1535901306112934,ok,,ok,ok,False
2025,12,primary,augmented_D_residual-original_D_residual,r2,1100,904,3.023268277165009,2.571276275588064,3.498315421022886,ok,,calibrated_unavailable,calibrated_unavailable,True
2025,12,primary,augmented_D_residual-original_D_residual,rmse,1100,904,-0.12245378374954205,-0.135546856133269,-0.10885740343972905,ok,,calibrated_unavailable,calibrated_unavailable,True
