source_family,n_rows,n_copies,original_month
anl:24755659,15,0,24264
anl:25817951,18,0,24268
anl:26601265,1026,678,24270
anl:26777665,1044,696,24273
anl:33607389,995,647,24276
anl:54775925,322,0,24278
anl:59090932,696,348,24283
anl:65024769,1065,710,24288
anl:69455744,1065,710,24294
anl:87143416,904,0,24315
local:2017-01,73,0,24204
local:2017-07,73,0,24210
local:2018-01,73,0,24216
local:2018-07,73,0,24222
local:2019-01,73,0,24228
local:2019-07,73,0,24234
local:2020-01,74,0,24240
local:2020-07,74,0,24246
local:2021-01,74,0,24252
local:2021-07,15,0,24258
local:2025-04,904,0,24303
local:2025-07,64,0,24306
local:2025-09,4,0,24308
local:2025-10,904,0,24309
