area_id,target_ord,n_candidates,candidates,decision,winner_month_ord,winner_anl_id
1573,24271,1,2022-07:26601265,source_invalid,-1,
1573,24272,1,2022-07:26601265,source_invalid,-1,
1517,24271,1,2022-07:26601265,source_invalid,-1,
1517,24272,1,2022-07:26601265,source_invalid,-1,
1682,24271,1,2022-07:26601265,source_invalid,-1,
1682,24272,1,2022-07:26601265,source_invalid,-1,
3164,24271,1,2022-07:26601265,source_invalid,-1,
3164,24272,1,2022-07:26601265,source_invalid,-1,
2032,24271,1,2022-07:26601265,source_invalid,-1,
2032,24272,1,2022-07:26601265,source_invalid,-1,
2065,24271,1,2022-07:26601265,source_invalid,-1,
2065,24272,1,2022-07:26601265,source_invalid,-1,
2373,24271,1,2022-07:26601265,source_invalid,-1,
2373,24272,1,2022-07:26601265,source_invalid,-1,
2838,24271,1,2022-07:26601265,source_invalid,-1,
2838,24272,1,2022-07:26601265,source_invalid,-1,
3028,24271,1,2022-07:26601265,source_invalid,-1,
3028,24272,1,2022-07:26601265,source_invalid,-1,
1517,24316,1,2026-04:87143416,no_covariate_row,-1,
1517,24317,1,2026-04:87143416,no_covariate_row,-1,
1538,24271,1,2022-07:26601265,filled,24270,26601265.0
1538,24272,1,2022-07:26601265,filled,24270,26601265.0
1538,24274,1,2022-10:26777665,filled,24273,26777665.0
1538,24275,1,2022-10:26777665,filled,24273,26777665.0
1538,24277,1,2023-01:33607389,filled,24276,33607389.0
1538,24278,1,2023-01:33607389,recipient_original,-1,
1538,24316,1,2026-04:87143416,no_covariate_row,-1,
1538,24317,1,2026-04:87143416,no_covariate_row,-1,
1539,24284,1,2023-08:59090932,filled,24283,59090932.0
1539,24289,1,2024-01:65024769,filled,24288,65024769.0
1539,24290,1,2024-01:65024769,filled,24288,65024769.0
1539,24295,1,2024-07:69455744,filled,24294,69455744.0
1539,24296,1,2024-07:69455744,filled,24294,69455744.0
1539,24316,1,2026-04:87143416,no_covariate_row,-1,
1539,24317,1,2026-04:87143416,no_covariate_row,-1,
1547,24271,1,2022-07:26601265,filled,24270,26601265.0
1547,24272,1,2022-07:26601265,filled,24270,26601265.0
1547,24274,1,2022-10:26777665,filled,24273,26777665.0
1547,24275,1,2022-10:26777665,filled,24273,26777665.0
1547,24277,1,2023-01:33607389,filled,24276,33607389.0
1547,24278,1,2023-01:33607389,recipient_original,-1,
1547,24316,1,2026-04:87143416,no_covariate_row,-1,
1547,24317,1,2026-04:87143416,no_covariate_row,-1,
1548,24284,1,2023-08:59090932,filled,24283,59090932.0
1548,24289,1,2024-01:65024769,filled,24288,65024769.0
1548,24290,1,2024-01:65024769,filled,24288,65024769.0
1548,24295,1,2024-07:69455744,filled,24294,69455744.0
1548,24296,1,2024-07:69455744,filled,24294,69455744.0
1548,24316,1,2026-04:87143416,no_covariate_row,-1,
1548,24317,1,2026-04:87143416,no_covariate_row,-1,
1549,24271,1,2022-07:26601265,filled,24270,26601265.0
1549,24272,1,2022-07:26601265,filled,24270,26601265.0
1549,24316,1,2026-04:87143416,no_covariate_row,-1,
1549,24317,1,2026-04:87143416,no_covariate_row,-1,
1561,24316,1,2026-04:87143416,no_covariate_row,-1,
1561,24317,1,2026-04:87143416,no_covariate_row,-1,
1562,24271,1,2022-07:26601265,filled,24270,26601265.0
1562,24272,1,2022-07:26601265,filled,24270,26601265.0
1562,24274,1,2022-10:26777665,filled,24273,26777665.0
1562,24275,1,2022-10:26777665,filled,24273,26777665.0
1562,24277,1,2023-01:33607389,filled,24276,33607389.0
1562,24278,1,2023-01:33607389,recipient_original,-1,
1562,24316,1,2026-04:87143416,no_covariate_row,-1,
1562,24317,1,2026-04:87143416,no_covariate_row,-1,
1563,24284,1,2023-08:59090932,filled,24283,59090932.0
1563,24289,1,2024-01:65024769,filled,24288,65024769.0
1563,24290,1,2024-01:65024769,filled,24288,65024769.0
1563,24295,1,2024-07:69455744,filled,24294,69455744.0
1563,24296,1,2024-07:69455744,filled,24294,69455744.0
1563,24316,1,2026-04:87143416,no_covariate_row,-1,
1563,24317,1,2026-04:87143416,no_covariate_row,-1,
1573,24316,1,2026-04:87143416,no_covariate_row,-1,
1573,24317,1,2026-04:87143416,no_covariate_row,-1,
1584,24284,1,2023-08:59090932,filled,24283,59090932.0
1584,24289,1,2024-01:65024769,filled,24288,65024769.0
1584,24290,1,2024-01:65024769,filled,24288,65024769.0
1584,24295,1,2024-07:69455744,filled,24294,69455744.0
1584,24296,1,2024-07:69455744,filled,24294,69455744.0
1584,24316,1,2026-04:87143416,no_covariate_row,-1,
1584,24317,1,2026-04:87143416,no_covariate_row,-1,
1586,24271,1,2022-07:26601265,filled,24270,26601265.0
1586,24272,1,2022-07:26601265,filled,24270,26601265.0
1586,24274,1,2022-10:26777665,filled,24273,26777665.0
1586,24275,1,2022-10:26777665,filled,24273,26777665.0
1586,24277,1,2023-01:33607389,filled,24276,33607389.0
1586,24278,1,2023-01:33607389,filled,24276,33607389.0
1586,24316,1,2026-04:87143416,no_covariate_row,-1,
1586,24317,1,2026-04:87143416,no_covariate_row,-1,
1593,24271,1,2022-07:26601265,filled,24270,26601265.0
1593,24272,1,2022-07:26601265,filled,24270,26601265.0
1593,24274,1,2022-10:26777665,filled,24273,26777665.0
1593,24275,1,2022-10:26777665,filled,24273,26777665.0
1593,24277,1,2023-01:33607389,filled,24276,33607389.0
1593,24278,1,2023-01:33607389,recipient_original,-1,
1593,24316,1,2026-04:87143416,no_covariate_row,-1,
1593,24317,1,2026-04:87143416,no_covariate_row,-1,
1594,24284,1,2023-08:59090932,filled,24283,59090932.0
1594,24289,1,2024-01:65024769,filled,24288,65024769.0
1594,24290,1,2024-01:65024769,filled,24288,65024769.0
1594,24295,1,2024-07:69455744,filled,24294,69455744.0
1594,24296,1,2024-07:69455744,filled,24294,69455744.0
1594,24316,1,2026-04:87143416,no_covariate_row,-1,
1594,24317,1,2026-04:87143416,no_covariate_row,-1,
1596,24284,1,2023-08:59090932,filled,24283,59090932.0
1596,24289,1,2024-01:65024769,filled,24288,65024769.0
1596,24290,1,2024-01:65024769,filled,24288,65024769.0
1596,24295,1,2024-07:69455744,filled,24294,69455744.0
1596,24296,1,2024-07:69455744,filled,24294,69455744.0
1596,24316,1,2026-04:87143416,no_covariate_row,-1,
1596,24317,1,2026-04:87143416,no_covariate_row,-1,
1598,24284,1,2023-08:59090932,filled,24283,59090932.0
1598,24289,1,2024-01:65024769,filled,24288,65024769.0
1598,24290,1,2024-01:65024769,filled,24288,65024769.0
1598,24295,1,2024-07:69455744,filled,24294,69455744.0
1598,24296,1,2024-07:69455744,filled,24294,69455744.0
1598,24316,1,2026-04:87143416,no_covariate_row,-1,
1598,24317,1,2026-04:87143416,no_covariate_row,-1,
1599,24271,1,2022-07:26601265,filled,24270,26601265.0
1599,24272,1,2022-07:26601265,filled,24270,26601265.0
1599,24274,1,2022-10:26777665,filled,24273,26777665.0
1599,24275,1,2022-10:26777665,filled,24273,26777665.0
1599,24277,1,2023-01:33607389,filled,24276,33607389.0
1599,24278,1,2023-01:33607389,filled,24276,33607389.0
1599,24316,1,2026-04:87143416,no_covariate_row,-1,
1599,24317,1,2026-04:87143416,no_covariate_row,-1,
1601,24271,1,2022-07:26601265,filled,24270,26601265.0
1601,24272,1,2022-07:26601265,filled,24270,26601265.0
1601,24274,1,2022-10:26777665,filled,24273,26777665.0
1601,24275,1,2022-10:26777665,filled,24273,26777665.0
1601,24277,1,2023-01:33607389,filled,24276,33607389.0
1601,24278,1,2023-01:33607389,recipient_original,-1,
1601,24284,1,2023-08:59090932,filled,24283,59090932.0
1601,24289,1,2024-01:65024769,filled,24288,65024769.0
1601,24290,1,2024-01:65024769,filled,24288,65024769.0
1601,24295,1,2024-07:69455744,filled,24294,69455744.0
1601,24296,1,2024-07:69455744,filled,24294,69455744.0
1601,24316,1,2026-04:87143416,no_covariate_row,-1,
1601,24317,1,2026-04:87143416,no_covariate_row,-1,
1602,24316,1,2026-04:87143416,no_covariate_row,-1,
1602,24317,1,2026-04:87143416,no_covariate_row,-1,
1603,24271,1,2022-07:26601265,filled,24270,26601265.0
1603,24272,1,2022-07:26601265,filled,24270,26601265.0
