check,year,horizon,arm,cohort,pass,detail,contrast
bootstrap_interval_replay,2026,12,,primary,True,,C-B
bootstrap_interval_replay,2026,12,,primary,True,,D-C
bootstrap_interval_replay,2026,12,,primary,True,,A-always_crisis
bootstrap_interval_replay,2026,12,,primary,True,,B-always_crisis
bootstrap_interval_replay,2026,12,,primary,True,,C-always_crisis
bootstrap_interval_replay,2026,12,,primary,True,,D-always_crisis
prediction_coverage,2026,12,A,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2026,12,A,persistence_subset,True,,
prediction_coverage,2026,12,B,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2026,12,B,persistence_subset,True,,
prediction_coverage,2026,12,C,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2026,12,C,persistence_subset,True,,
prediction_coverage,2026,12,D,persistence_subset,True,0 frozen cohort keys without predictions,
phase_from_raw_predictions,2026,12,D,persistence_subset,True,,
bootstrap_bundle_present,2026,12,,persistence_subset,True,,
bootstrap_cohort_keys_match,2026,12,,persistence_subset,True,,
contrast_present,2026,12,,persistence_subset,True,,A-persistence
contrast_present,2026,12,,persistence_subset,True,,B-persistence
contrast_present,2026,12,,persistence_subset,True,,C-persistence
contrast_present,2026,12,,persistence_subset,True,,D-persistence
contrast_present,2026,12,,persistence_subset,True,,A-always_crisis
contrast_present,2026,12,,persistence_subset,True,,B-always_crisis
contrast_present,2026,12,,persistence_subset,True,,C-always_crisis
contrast_present,2026,12,,persistence_subset,True,,D-always_crisis
bootstrap_interval_replay,2026,12,,persistence_subset,True,,A-persistence
bootstrap_interval_replay,2026,12,,persistence_subset,True,,B-persistence
bootstrap_interval_replay,2026,12,,persistence_subset,True,,C-persistence
bootstrap_interval_replay,2026,12,,persistence_subset,True,,D-persistence
bootstrap_interval_replay,2026,12,,persistence_subset,True,,A-always_crisis
bootstrap_interval_replay,2026,12,,persistence_subset,True,,B-always_crisis
bootstrap_interval_replay,2026,12,,persistence_subset,True,,C-always_crisis
bootstrap_interval_replay,2026,12,,persistence_subset,True,,D-always_crisis
metric_f2,2025,0,A,primary,True,,
metric_precision,2025,0,A,primary,True,,
metric_recall,2025,0,A,primary,True,,
metric_accuracy,2025,0,A,primary,True,,
metric_r2_q3,2025,0,A,primary,True,,
metric_f2,2025,0,B,primary,True,,
metric_precision,2025,0,B,primary,True,,
metric_recall,2025,0,B,primary,True,,
metric_accuracy,2025,0,B,primary,True,,
metric_r2_q3,2025,0,B,primary,True,,
metric_f2,2025,0,C,primary,True,,
metric_precision,2025,0,C,primary,True,,
metric_recall,2025,0,C,primary,True,,
metric_accuracy,2025,0,C,primary,True,,
metric_r2_q3,2025,0,C,primary,True,,
metric_f2,2025,0,D,primary,True,,
metric_precision,2025,0,D,primary,True,,
metric_recall,2025,0,D,primary,True,,
metric_accuracy,2025,0,D,primary,True,,
metric_r2_q3,2025,0,D,primary,True,,
metric_f2,2025,0,always_crisis,primary,True,,
metric_precision,2025,0,always_crisis,primary,True,,
metric_recall,2025,0,always_crisis,primary,True,,
metric_accuracy,2025,0,always_crisis,primary,True,,
metric_r2_q3,2025,0,always_crisis,primary,True,,
metric_f2,2025,0,A,persistence_subset,True,,
metric_precision,2025,0,A,persistence_subset,True,,
metric_recall,2025,0,A,persistence_subset,True,,
metric_accuracy,2025,0,A,persistence_subset,True,,
metric_r2_q3,2025,0,A,persistence_subset,True,,
metric_f2,2025,0,B,persistence_subset,True,,
metric_precision,2025,0,B,persistence_subset,True,,
metric_recall,2025,0,B,persistence_subset,True,,
metric_accuracy,2025,0,B,persistence_subset,True,,
metric_r2_q3,2025,0,B,persistence_subset,True,,
metric_f2,2025,0,C,persistence_subset,True,,
metric_precision,2025,0,C,persistence_subset,True,,
metric_recall,2025,0,C,persistence_subset,True,,
metric_accuracy,2025,0,C,persistence_subset,True,,
metric_r2_q3,2025,0,C,persistence_subset,True,,
metric_f2,2025,0,D,persistence_subset,True,,
metric_precision,2025,0,D,persistence_subset,True,,
metric_recall,2025,0,D,persistence_subset,True,,
metric_accuracy,2025,0,D,persistence_subset,True,,
metric_r2_q3,2025,0,D,persistence_subset,True,,
metric_f2,2025,0,always_crisis,persistence_subset,True,,
metric_precision,2025,0,always_crisis,persistence_subset,True,,
metric_recall,2025,0,always_crisis,persistence_subset,True,,
metric_accuracy,2025,0,always_crisis,persistence_subset,True,,
metric_r2_q3,2025,0,always_crisis,persistence_subset,True,,
metric_f2,2025,0,persistence,persistence_subset,True,,
metric_precision,2025,0,persistence,persistence_subset,True,,
metric_recall,2025,0,persistence,persistence_subset,True,,
metric_accuracy,2025,0,persistence,persistence_subset,True,,
metric_r2_q3,2025,0,persistence,persistence_subset,True,,
metric_f2,2025,3,A,primary,True,,
metric_precision,2025,3,A,primary,True,,
metric_recall,2025,3,A,primary,True,,
metric_accuracy,2025,3,A,primary,True,,
metric_r2_q3,2025,3,A,primary,True,,
metric_f2,2025,3,B,primary,True,,
metric_precision,2025,3,B,primary,True,,
metric_recall,2025,3,B,primary,True,,
metric_accuracy,2025,3,B,primary,True,,
metric_r2_q3,2025,3,B,primary,True,,
metric_f2,2025,3,C,primary,True,,
metric_precision,2025,3,C,primary,True,,
metric_recall,2025,3,C,primary,True,,
metric_accuracy,2025,3,C,primary,True,,
metric_r2_q3,2025,3,C,primary,True,,
metric_f2,2025,3,D,primary,True,,
metric_precision,2025,3,D,primary,True,,
metric_recall,2025,3,D,primary,True,,
metric_accuracy,2025,3,D,primary,True,,
metric_r2_q3,2025,3,D,primary,True,,
metric_f2,2025,3,always_crisis,primary,True,,
metric_precision,2025,3,always_crisis,primary,True,,
metric_recall,2025,3,always_crisis,primary,True,,
metric_accuracy,2025,3,always_crisis,primary,True,,
metric_r2_q3,2025,3,always_crisis,primary,True,,
metric_f2,2025,3,A,persistence_subset,True,,
metric_precision,2025,3,A,persistence_subset,True,,
metric_recall,2025,3,A,persistence_subset,True,,
