test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,contrast,point_delta_f2,valid_draws,undefined_draws,ci_low,ci_high,interval_status,interval_reason,bootstrap_bundle,comparison_complete
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,B-persistence,0.13854230340512752,2000,0,0.06933250327371372,0.21206966493017712,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,C-persistence,0.14595859875456763,2000,0,0.08128544833557416,0.21621512983646324,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,D-persistence,0.10694391087207067,2000,0,0.055240425631400504,0.16337600971062505,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,A-always_crisis,-0.03554355249270502,2000,0,-0.06283522216982676,-0.010655435089427387,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,B-always_crisis,-0.05322701845203304,2000,0,-0.08666529479721771,-0.022672652646830594,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,C-always_crisis,-0.04581072310259293,2000,0,-0.07771938986023753,-0.019622162400986805,ok,,y2025_h03_persistence_subset,True
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,D-always_crisis,-0.08482541098508989,2000,0,-0.1378993066332498,-0.033077961503409914,ok,,y2025_h03_persistence_subset,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,B-A,0.010050310325371403,2000,0,-0.008446545521364729,0.0318839519805985,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,C-B,-0.0019741731698253995,2000,0,-0.015107013488780699,0.007228335154929297,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,D-C,0.006307031669350538,2000,0,-0.01454237719618969,0.025478539627896004,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,A-always_crisis,-0.007027509772630669,2000,0,-0.029039059573473,0.011480007834339763,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,B-always_crisis,0.0030228005527407342,2000,0,0.0,0.007122031649467936,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,C-always_crisis,0.0010486273829153347,2000,0,-0.011691165551325275,0.00996489535433586,ok,,y2025_h06_primary,True
2025,6,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,D-always_crisis,0.007355659052265873,2000,0,-0.010826324093195172,0.022314750156092314,ok,,y2025_h06_primary,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,A-persistence,0.18697374938088163,2000,0,0.11662571723243928,0.261263035762626,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,B-persistence,0.19716119844363622,2000,0,0.1249332791215724,0.27388676994870037,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,C-persistence,0.19516375757088977,2000,0,0.12451088633294896,0.271211069105308,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,D-persistence,0.201630365796292,2000,0,0.13226145602699738,0.2768621148931453,ok,,y2025_h06_persistence_subset,True
2025,6,persistence_subset,269,132,2025-04;2025-07;2025-10,64403b0c593b9605f22ae7c25dfd62f483495652d332b4f8a99c7157961f38ca,A-always_crisis,-0.007105156313438887,2000,0,-0.029666907139101254,0.011765801907329376,ok,,y2025_h06_persistence_subset,True
