branch,test_year,scoring_round,n_rows,n_copy_rows,calibration_rounds,families
original,2025,2023-08,348,0,2022-10;2023-01;2023-03,anl:59090932
original,2025,2024-01,355,0,2023-01;2023-03;2023-08,anl:65024769
original,2025,2024-07,355,0,2023-03;2023-08;2024-01,anl:69455744
original,2026,2025-07,64,0,2024-01;2024-07;2025-04,local:2025-07
original,2026,2025-09,4,0,2024-07;2025-04;2025-07,local:2025-09
original,2026,2025-10,904,0,2025-04;2025-07;2025-09,local:2025-10
augmented,2025,2023-08,696,348,2022-10;2023-01;2023-03,anl:59090932
augmented,2025,2024-01,1065,710,2023-01;2023-03;2023-08,anl:65024769
augmented,2025,2024-07,1065,710,2023-03;2023-08;2024-01,anl:69455744
augmented,2026,2025-07,64,0,2024-01;2024-07;2025-04,local:2025-07
augmented,2026,2025-09,4,0,2024-07;2025-04;2025-07,local:2025-09
augmented,2026,2025-10,904,0,2025-04;2025-07;2025-09,local:2025-10
