column,status,n_mismatch,horizon,unmatched_keys,skipped_invalid_phase_ref_rows
SoilMoi00_10cm_tavg_mean__l12_ratio_l24,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__slope6_asof12,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__slope12_asof12,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__slope24_asof12,ok,0,0,0,0
SoilMoi00_10cm_tavg_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
EVI_mean__l12_minus_l24,ok,0,0,0,0
EVI_mean__l12_ratio_l24,ok,0,0,0,0
EVI_mean__slope6_asof12,ok,0,0,0,0
EVI_mean__slope12_asof12,ok,0,0,0,0
EVI_mean__slope24_asof12,ok,0,0,0,0
EVI_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
GPP_mean__l12_minus_l24,ok,0,0,0,0
GPP_mean__l12_ratio_l24,ok,0,0,0,0
GPP_mean__slope6_asof12,ok,0,0,0,0
GPP_mean__slope12_asof12,ok,0,0,0,0
GPP_mean__slope24_asof12,ok,0,0,0,0
GPP_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
nightlight_mean__l12_minus_l24,ok,0,0,0,0
nightlight_mean__l12_ratio_l24,ok,0,0,0,0
nightlight_mean__slope6_asof12,ok,0,0,0,0
nightlight_mean__slope12_asof12,ok,0,0,0,0
nightlight_mean__slope24_asof12,ok,0,0,0,0
nightlight_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
event_count_violence__l12_minus_l24,ok,0,0,0,0
event_count_violence__l12_ratio_l24,ok,0,0,0,0
event_count_violence__slope6_asof12,ok,0,0,0,0
event_count_violence__slope12_asof12,ok,0,0,0,0
event_count_violence__slope24_asof12,ok,0,0,0,0
event_count_violence__accel6_vs_prev6_asof12,ok,0,0,0,0
sum_fatalities_violence__l12_minus_l24,ok,0,0,0,0
sum_fatalities_violence__l12_ratio_l24,ok,0,0,0,0
sum_fatalities_violence__slope6_asof12,ok,0,0,0,0
sum_fatalities_violence__slope12_asof12,ok,0,0,0,0
sum_fatalities_violence__slope24_asof12,ok,0,0,0,0
sum_fatalities_violence__accel6_vs_prev6_asof12,ok,0,0,0,0
FAO_price__l12_minus_l24,ok,0,0,0,0
FAO_price__l12_ratio_l24,ok,0,0,0,0
FAO_price__slope6_asof12,ok,0,0,0,0
FAO_price__slope12_asof12,ok,0,0,0,0
FAO_price__slope24_asof12,ok,0,0,0,0
FAO_price__accel6_vs_prev6_asof12,ok,0,0,0,0
WFP_Price__l12_minus_l24,ok,0,0,0,0
WFP_Price__l12_ratio_l24,ok,0,0,0,0
WFP_Price__slope6_asof12,ok,0,0,0,0
WFP_Price__slope12_asof12,ok,0,0,0,0
WFP_Price__slope24_asof12,ok,0,0,0,0
WFP_Price__accel6_vs_prev6_asof12,ok,0,0,0,0
food_price_index_WB__l12_minus_l24,ok,0,0,0,0
food_price_index_WB__l12_ratio_l24,ok,0,0,0,0
food_price_index_WB__slope6_asof12,ok,0,0,0,0
food_price_index_WB__slope12_asof12,ok,0,0,0,0
food_price_index_WB__slope24_asof12,ok,0,0,0,0
food_price_index_WB__accel6_vs_prev6_asof12,ok,0,0,0,0
food_inflation_wb__l12_minus_l24,ok,0,0,0,0
food_inflation_wb__l12_ratio_l24,ok,0,0,0,0
food_inflation_wb__slope6_asof12,ok,0,0,0,0
food_inflation_wb__slope12_asof12,ok,0,0,0,0
food_inflation_wb__slope24_asof12,ok,0,0,0,0
food_inflation_wb__accel6_vs_prev6_asof12,ok,0,0,0,0
nino34_anom__l12_minus_l24,ok,0,0,0,0
nino34_anom__l12_ratio_l24,ok,0,0,0,0
nino34_anom__slope6_asof12,ok,0,0,0,0
nino34_anom__slope12_asof12,ok,0,0,0,0
nino34_anom__slope24_asof12,ok,0,0,0,0
nino34_anom__accel6_vs_prev6_asof12,ok,0,0,0,0
bbg_staple_food__composite_mean__l12_minus_l24,ok,0,0,0,0
bbg_staple_food__composite_mean__l12_ratio_l24,ok,0,0,0,0
bbg_staple_food__composite_mean__slope6_asof12,ok,0,0,0,0
bbg_staple_food__composite_mean__slope12_asof12,ok,0,0,0,0
bbg_staple_food__composite_mean__slope24_asof12,ok,0,0,0,0
bbg_staple_food__composite_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
bbg_oilgas__composite_mean__l12_minus_l24,ok,0,0,0,0
bbg_oilgas__composite_mean__l12_ratio_l24,ok,0,0,0,0
bbg_oilgas__composite_mean__slope6_asof12,ok,0,0,0,0
bbg_oilgas__composite_mean__slope12_asof12,ok,0,0,0,0
bbg_oilgas__composite_mean__slope24_asof12,ok,0,0,0,0
bbg_oilgas__composite_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
bbg_soybean_oil__composite_mean__l12_minus_l24,ok,0,0,0,0
bbg_soybean_oil__composite_mean__l12_ratio_l24,ok,0,0,0,0
bbg_soybean_oil__composite_mean__slope6_asof12,ok,0,0,0,0
bbg_soybean_oil__composite_mean__slope12_asof12,ok,0,0,0,0
bbg_soybean_oil__composite_mean__slope24_asof12,ok,0,0,0,0
bbg_soybean_oil__composite_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
bbg_global_food__composite_mean__l12_minus_l24,ok,0,0,0,0
bbg_global_food__composite_mean__l12_ratio_l24,ok,0,0,0,0
bbg_global_food__composite_mean__slope6_asof12,ok,0,0,0,0
bbg_global_food__composite_mean__slope12_asof12,ok,0,0,0,0
bbg_global_food__composite_mean__slope24_asof12,ok,0,0,0,0
bbg_global_food__composite_mean__accel6_vs_prev6_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_std_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_min_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_max_asof12,ok,0,0,0,0
Rainf_f_tavg_mean__roll12_iqr_asof12,ok,0,0,0,0
Tair_f_tavg_mean__roll12_std_asof12,ok,0,0,0,0
Tair_f_tavg_mean__roll12_min_asof12,ok,0,0,0,0
Tair_f_tavg_mean__roll12_max_asof12,ok,0,0,0,0
Tair_f_tavg_mean__roll12_iqr_asof12,ok,0,0,0,0
EVI_mean__roll12_std_asof12,ok,0,0,0,0
EVI_mean__roll12_min_asof12,ok,0,0,0,0
EVI_mean__roll12_max_asof12,ok,0,0,0,0
EVI_mean__roll12_iqr_asof12,ok,0,0,0,0
GPP_mean__roll12_std_asof12,ok,0,0,0,0
GPP_mean__roll12_min_asof12,ok,0,0,0,0
GPP_mean__roll12_max_asof12,ok,0,0,0,0
GPP_mean__roll12_iqr_asof12,ok,0,0,0,0
event_count_violence__roll12_std_asof12,ok,0,0,0,0
event_count_violence__roll12_min_asof12,ok,0,0,0,0
event_count_violence__roll12_max_asof12,ok,0,0,0,0
event_count_violence__roll12_iqr_asof12,ok,0,0,0,0
FAO_price__roll12_std_asof12,ok,0,0,0,0
FAO_price__roll12_min_asof12,ok,0,0,0,0
FAO_price__roll12_max_asof12,ok,0,0,0,0
FAO_price__roll12_iqr_asof12,ok,0,0,0,0
WFP_Price__roll12_std_asof12,ok,0,0,0,0
WFP_Price__roll12_min_asof12,ok,0,0,0,0
WFP_Price__roll12_max_asof12,ok,0,0,0,0
WFP_Price__roll12_iqr_asof12,ok,0,0,0,0
food_inflation_wb__roll12_std_asof12,ok,0,0,0,0
food_inflation_wb__roll12_min_asof12,ok,0,0,0,0
food_inflation_wb__roll12_max_asof12,ok,0,0,0,0
food_inflation_wb__roll12_iqr_asof12,ok,0,0,0,0
nino34_anom__roll12_std_asof12,ok,0,0,0,0
