test_year,horizon,n_primary,cohort,branch,view,status,reason,n,n_areas,raw_r2,raw_rmse,raw_mae,raw_bias,raw_mean_truth,raw_mean_pred,final_r2,final_rmse,final_mae,final_bias,final_mean_truth,final_mean_pred,raw_auc,final_auc,final_within_month_auc,within_month_auc_months,within_month_auc_undefined_months,raw_within_month_auc,bin_f1,bin_recall,bin_precision,bin_f2,bin_tp,bin_fp,bin_fn,bin_tn,legacy_phase_accuracy,legacy_multiclass_macro_f1,legacy_f1,legacy_recall,legacy_precision,legacy_f2,legacy_tp,legacy_fp,legacy_fn,legacy_tn,q3_binary_vs_legacy_disagreements,n_clipped,n_fallback_direct,n_residual_branch
2025,0,1876,primary,original,D_direct,ok,,1876.0,904.0,-0.19997546784242304,0.14210984644838176,0.11035292279610692,0.047561504430910034,0.22492004264392326,0.2724815470748333,-0.167331483500204,0.1401635491213452,0.10966538160127748,-0.04147189607535741,0.22492004264392326,0.18344814656856587,0.6833568930032922,0.6833568930032922,0.7453735897380867,3.0,1.0,0.7453735897380867,0.5820224719101124,0.5143992055610725,0.6701164294954722,0.5394709435534264,518.0,255.0,489.0,614.0,0.5948827292110874,0.3071931979111347,0.7356902356902357,0.8679245283018868,0.6384222059897735,0.8097090976468408,874.0,495.0,133.0,374.0,596.0,56.0,0.0,0.0
2025,0,1876,share_history_subset,original,D_direct,ok,,1849.0,904.0,-0.1638507073690456,0.13986632000414603,0.10848772312504915,0.04493236780738818,0.2259599783666847,0.2708923461740729,-0.159153155109651,0.13958376930295277,0.10880801019735128,-0.04409245431612444,0.2259599783666847,0.1818675240505603,0.6927506455808343,0.6927506455808343,0.7481621419908574,3.0,1.0,0.7481621419908574,0.585812356979405,0.5114885114885115,0.6854082998661312,0.5388339296990108,512.0,235.0,489.0,613.0,0.6008653326122229,0.31028253024420616,0.7409304310712761,0.8671328671328671,0.646795827123696,0.811821922933034,868.0,474.0,133.0,374.0,595.0,56.0,0.0,0.0
2025,0,1876,primary,original,D_residual,ok,,1876.0,904.0,-0.9287569575052366,0.18016761904720455,0.14114826286594703,0.10202325433003834,0.22492004264392326,0.32694329697396163,-0.0004354594566042813,0.12975751648216016,0.10923038826503757,0.04905194490243441,0.22492004264392326,0.2739719875463576,0.7227462994938766,0.7272755841445897,0.7017391300872725,3.0,1.0,0.7030962354178824,0.7249434815373021,0.9553128103277061,0.5840922890103218,0.8475770925110132,962.0,685.0,45.0,184.0,0.5687633262260128,0.2777076582360961,0.7335154116269996,0.9334657398212513,0.6041131105398457,0.8416905444126075,940.0,616.0,67.0,253.0,95.0,0.0,27.0,1849.0
2025,0,1876,share_history_subset,original,D_residual,ok,,1849.0,904.0,-0.9042060373766099,0.17890458868667386,0.13973275177351863,0.10018939474668763,0.2259599783666847,0.3261493731133723,0.006275819652882153,0.12924014594728653,0.10855851323282355,0.048024736776902804,0.2259599783666847,0.2739847151435875,0.729135251540912,0.7285933406216425,0.7018794380045429,3.0,1.0,0.7050020854072073,0.7289363324437667,0.955044955044955,0.5893958076448829,0.8496267330252399,956.0,666.0,45.0,182.0,0.5743645213628988,0.28051830297638003,0.7383399209486166,0.9330669330669331,0.6108567691301504,0.8440267485993133,934.0,595.0,67.0,253.0,93.0,0.0,0.0,1849.0
2025,0,1876,primary,original,D_selected,ok,,1876.0,904.0,-0.19997546784242304,0.14210984644838176,0.11035292279610692,0.047561504430910034,0.22492004264392326,0.2724815470748333,-0.167331483500204,0.1401635491213452,0.10966538160127748,-0.04147189607535741,0.22492004264392326,0.18344814656856587,0.6833568930032922,0.6833568930032922,0.7453735897380867,3.0,1.0,0.7453735897380867,0.5820224719101124,0.5143992055610725,0.6701164294954722,0.5394709435534264,518.0,255.0,489.0,614.0,0.5948827292110874,0.3071931979111347,0.7356902356902357,0.8679245283018868,0.6384222059897735,0.8097090976468408,874.0,495.0,133.0,374.0,596.0,56.0,0.0,0.0
2025,0,1876,share_history_subset,original,D_selected,ok,,1849.0,904.0,-0.1638507073690456,0.13986632000414603,0.10848772312504915,0.04493236780738818,0.2259599783666847,0.2708923461740729,-0.159153155109651,0.13958376930295277,0.10880801019735128,-0.04409245431612444,0.2259599783666847,0.1818675240505603,0.6927506455808343,0.6927506455808343,0.7481621419908574,3.0,1.0,0.7481621419908574,0.585812356979405,0.5114885114885115,0.6854082998661312,0.5388339296990108,512.0,235.0,489.0,613.0,0.6008653326122229,0.31028253024420616,0.7409304310712761,0.8671328671328671,0.646795827123696,0.811821922933034,868.0,474.0,133.0,374.0,595.0,56.0,0.0,0.0
2025,0,1876,primary,augmented,D_direct,ok,,1876.0,904.0,-0.3124882906662956,0.1486228911069204,0.11684804872146994,0.057314300821867704,0.22492004264392326,0.28223434346579096,-0.3124882906662956,0.1486228911069204,0.11684804872146994,0.057314300821867704,0.22492004264392326,0.28223434346579096,0.7080151254223883,0.7080151254223883,0.7081888735428431,3.0,1.0,0.7081888735428431,0.7276542173730591,0.8609731876861966,0.6300872093023255,0.8021835677276091,867.0,509.0,140.0,360.0,0.585820895522388,0.29511633290025835,0.7276542173730591,0.8609731876861966,0.6300872093023255,0.8021835677276091,867.0,509.0,140.0,360.0,0.0,0.0,0.0,0.0
2025,0,1876,share_history_subset,augmented,D_direct,ok,,1849.0,904.0,-0.28809050083443877,0.14714235401445003,0.115365277110257,0.05523756447073381,0.2259599783666847,0.2811975428374185,-0.28809050083443877,0.14714235401445003,0.115365277110257,0.05523756447073381,0.2259599783666847,0.2811975428374185,0.7147698999114093,0.7147698999114093,0.7101477401225512,3.0,1.0,0.7101477401225512,0.7327659574468085,0.8601398601398601,0.6382505559673832,0.804221931627125,861.0,488.0,140.0,360.0,0.591130340724716,0.29822990090677176,0.7327659574468085,0.8601398601398601,0.6382505559673832,0.804221931627125,861.0,488.0,140.0,360.0,0.0,0.0,0.0,0.0
2025,0,1876,primary,augmented,D_residual,ok,,1876.0,904.0,-0.7975622257087052,0.17393218510967254,0.13431536952760886,0.0863549119696233,0.22492004264392326,0.3112749546135465,-0.010604040412202753,0.13041528703448416,0.10958122738798699,0.05103554117297943,0.22492004264392326,0.2759555838169027,0.7070655012153133,0.7035001251309875,0.7025857247064028,3.0,1.0,0.721482093089282,0.7206040992448759,0.9950347567030785,0.5648252536640361,0.8634953464322648,1002.0,772.0,5.0,97.0,0.5970149253731343,0.29534091705114063,0.7425101214574898,0.9106256206554121,0.6267942583732058,0.8350027317428519,917.0,546.0,90.0,323.0,311.0,0.0,27.0,1849.0
2025,0,1876,share_history_subset,augmented,D_residual,ok,,1849.0,904.0,-0.7759024204401035,0.17277227842726237,0.13296118955022082,0.08451426569530185,0.2259599783666847,0.31047424406198654,-0.002726310994562331,0.1298242183090634,0.10887502200942527,0.05006309891537841,0.2259599783666847,0.2760230772820631,0.7131736188339961,0.7038162309388726,0.702272195746692,3.0,1.0,0.723427353289339,0.7248908296943232,0.995004995004995,0.5701202060675443,0.8659363588941054,996.0,751.0,5.0,97.0,0.6024878312601406,0.2985084559531496,0.7476405416495692,0.9100899100899101,0.6344011142061281,0.8373161764705882,911.0,525.0,90.0,323.0,311.0,0.0,0.0,1849.0
