check,pass,detail
mapping_rows_y2025_h03_o2025-06_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h03_o2025-06_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-06_augmented_D_residual_residual,True,
mapping_rows_y2025_h03_o2025-06_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h03_o2025-06_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-06_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h03_o2025-07_original_D_direct_direct,True,
mapping_rows_available_y2025_h03_o2025-07_original_D_direct_direct,True,
mapping_shift_y2025_h03_o2025-07_original_D_direct_direct,True,
mapping_rows_y2025_h03_o2025-07_original_D_residual_residual,True,
mapping_rows_available_y2025_h03_o2025-07_original_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-07_original_D_residual_residual,True,
mapping_rows_y2025_h03_o2025-07_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h03_o2025-07_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-07_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h03_o2025-07_original_D_selected_direct,True,
mapping_rows_available_y2025_h03_o2025-07_original_D_selected_direct,True,
mapping_shift_y2025_h03_o2025-07_original_D_selected_direct,True,
mapping_rows_y2025_h03_o2025-07_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h03_o2025-07_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h03_o2025-07_augmented_D_residual_residual,True,
mapping_rows_y2025_h03_o2025-07_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h03_o2025-07_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h03_o2025-07_augmented_D_residual_fallback_direct,True,
mapping_rows_y2026_h03_o2026-01_original_D_direct_direct,True,
mapping_rows_available_y2026_h03_o2026-01_original_D_direct_direct,True,
mapping_shift_y2026_h03_o2026-01_original_D_direct_direct,True,
mapping_rows_y2026_h03_o2026-01_original_D_residual_residual,True,
mapping_rows_available_y2026_h03_o2026-01_original_D_residual_residual,True,
mapping_shift_y2026_h03_o2026-01_original_D_residual_residual,True,
mapping_rows_y2026_h03_o2026-01_original_D_residual_fallback_direct,True,
mapping_rows_available_y2026_h03_o2026-01_original_D_residual_fallback_direct,True,
mapping_shift_y2026_h03_o2026-01_original_D_residual_fallback_direct,True,
mapping_rows_y2026_h03_o2026-01_original_D_selected_direct,True,
mapping_rows_available_y2026_h03_o2026-01_original_D_selected_direct,True,
mapping_shift_y2026_h03_o2026-01_original_D_selected_direct,True,
mapping_rows_y2026_h03_o2026-01_augmented_D_direct_direct,True,
mapping_rows_available_y2026_h03_o2026-01_augmented_D_direct_direct,True,
mapping_isotonic_y2026_h03_o2026-01_augmented_D_direct_direct,True,
mapping_rows_y2026_h03_o2026-01_augmented_D_residual_residual,True,
mapping_rows_available_y2026_h03_o2026-01_augmented_D_residual_residual,True,
mapping_shift_y2026_h03_o2026-01_augmented_D_residual_residual,True,
mapping_rows_y2026_h03_o2026-01_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2026_h03_o2026-01_augmented_D_residual_fallback_direct,True,
mapping_shift_y2026_h03_o2026-01_augmented_D_residual_fallback_direct,True,
mapping_rows_y2026_h03_o2026-01_augmented_D_selected_residual,True,
mapping_rows_available_y2026_h03_o2026-01_augmented_D_selected_residual,True,
mapping_shift_y2026_h03_o2026-01_augmented_D_selected_residual,True,
mapping_rows_y2026_h03_o2026-01_augmented_D_selected_fallback_direct,True,
mapping_rows_available_y2026_h03_o2026-01_augmented_D_selected_fallback_direct,True,
mapping_shift_y2026_h03_o2026-01_augmented_D_selected_fallback_direct,True,
mapping_rows_y2025_h06_o2024-10_original_D_direct_direct,True,
mapping_rows_available_y2025_h06_o2024-10_original_D_direct_direct,True,
mapping_shift_y2025_h06_o2024-10_original_D_direct_direct,True,
mapping_rows_y2025_h06_o2024-10_original_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2024-10_original_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2024-10_original_D_residual_residual,True,
mapping_rows_y2025_h06_o2024-10_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2024-10_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2024-10_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2024-10_original_D_selected_direct,True,
mapping_rows_available_y2025_h06_o2024-10_original_D_selected_direct,True,
mapping_shift_y2025_h06_o2024-10_original_D_selected_direct,True,
mapping_rows_y2025_h06_o2024-10_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2024-10_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2024-10_augmented_D_residual_residual,True,
mapping_rows_y2025_h06_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2024-10_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-01_original_D_direct_direct,True,
mapping_rows_available_y2025_h06_o2025-01_original_D_direct_direct,True,
mapping_shift_y2025_h06_o2025-01_original_D_direct_direct,True,
mapping_rows_y2025_h06_o2025-01_original_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-01_original_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-01_original_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-01_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-01_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-01_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-01_original_D_selected_direct,True,
mapping_rows_available_y2025_h06_o2025-01_original_D_selected_direct,True,
mapping_shift_y2025_h06_o2025-01_original_D_selected_direct,True,
mapping_rows_y2025_h06_o2025-01_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-01_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-01_augmented_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-01_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-01_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-01_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-03_original_D_direct_direct,True,
mapping_rows_available_y2025_h06_o2025-03_original_D_direct_direct,True,
mapping_shift_y2025_h06_o2025-03_original_D_direct_direct,True,
mapping_rows_y2025_h06_o2025-03_original_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-03_original_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-03_original_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-03_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-03_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-03_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-03_original_D_selected_direct,True,
mapping_rows_available_y2025_h06_o2025-03_original_D_selected_direct,True,
mapping_shift_y2025_h06_o2025-03_original_D_selected_direct,True,
mapping_rows_y2025_h06_o2025-03_augmented_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-03_augmented_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-03_augmented_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-03_augmented_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-03_augmented_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-03_augmented_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-04_original_D_direct_direct,True,
mapping_rows_available_y2025_h06_o2025-04_original_D_direct_direct,True,
mapping_shift_y2025_h06_o2025-04_original_D_direct_direct,True,
mapping_rows_y2025_h06_o2025-04_original_D_residual_residual,True,
mapping_rows_available_y2025_h06_o2025-04_original_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-04_original_D_residual_residual,True,
mapping_rows_y2025_h06_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_available_y2025_h06_o2025-04_original_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-04_original_D_residual_fallback_direct,True,
mapping_rows_y2025_h06_o2025-04_original_D_selected_direct,True,
mapping_rows_available_y2025_h06_o2025-04_original_D_selected_direct,True,
mapping_shift_y2025_h06_o2025-04_original_D_selected_direct,True,
