branch,fold,view,formulation,bundle,bundle_order,method,method_order,formulation_order,status,reason,n,rmse,auc
original,2026,D_residual,residual,X4,3,none,0,1,ok,,972,0.1467906252821739,0.7244367261733372
original,2026,D_residual,residual,X4,3,shift,1,1,ok,,972,0.11539740311223358,0.7545349841635474
original,2026,D_residual,residual,X4,3,isotonic,2,1,ok,,972,0.1209471830434233,0.5719118917362511
original,2026,D_residual,residual,X5,4,none,0,1,ok,,972,0.15168614969811706,0.7190379355024475
original,2026,D_residual,residual,X5,4,shift,1,1,ok,,972,0.12097969949003257,0.7515251583645263
original,2026,D_residual,residual,X5,4,isotonic,2,1,ok,,972,0.12277206253951142,0.5633390620501008
original,2026,D_residual,residual,X6,5,none,0,1,ok,,972,0.1585754073934677,0.6288308918802189
original,2026,D_residual,residual,X6,5,shift,1,1,ok,,972,0.1282793272806198,0.6513168550244746
original,2026,D_residual,residual,X6,5,isotonic,2,1,ok,,972,0.12398628186226691,0.5166417722430175
augmented,2025,D_direct,direct,X1,0,none,0,0,ok,,2826,0.15457962465756844,0.7230286182046131
augmented,2025,D_direct,direct,X1,0,shift,1,0,ok,,2826,0.16144469724964258,0.7097704711682418
augmented,2025,D_direct,direct,X1,0,isotonic,2,0,ok,,2826,0.15794893995871231,0.6721782428168411
augmented,2025,D_direct,direct,X2,1,none,0,0,ok,,2826,0.15817862174836855,0.7118741383195657
augmented,2025,D_direct,direct,X2,1,shift,1,0,ok,,2826,0.16525995824559683,0.6977364310582879
augmented,2025,D_direct,direct,X2,1,isotonic,2,0,ok,,2826,0.15891017329804466,0.6724959384644108
augmented,2025,D_direct,direct,X3,2,none,0,0,ok,,2826,0.16172461388030096,0.7092879050305825
augmented,2025,D_direct,direct,X3,2,shift,1,0,ok,,2826,0.1683603026907939,0.6941519408293111
augmented,2025,D_direct,direct,X3,2,isotonic,2,0,ok,,2826,0.16171581725977544,0.6648303389807542
augmented,2025,D_direct,direct,X4,3,none,0,0,ok,,2826,0.15950227513783322,0.7118668609311143
augmented,2025,D_direct,direct,X4,3,shift,1,0,ok,,2826,0.1679412750102551,0.7010704787467634
augmented,2025,D_direct,direct,X4,3,isotonic,2,0,ok,,2826,0.16315221455083978,0.6712663107605473
augmented,2025,D_direct,direct,X5,4,none,0,0,ok,,2826,0.16195460907741402,0.707807834786218
augmented,2025,D_direct,direct,X5,4,shift,1,0,ok,,2826,0.16964721813787018,0.6957062906247663
augmented,2025,D_direct,direct,X5,4,isotonic,2,0,ok,,2826,0.1641550053011177,0.666190708732314
augmented,2025,D_direct,direct,X6,5,none,0,0,ok,,2826,0.16014060490431783,0.7315858232457855
augmented,2025,D_direct,direct,X6,5,shift,1,0,ok,,2826,0.16588310945008158,0.7233227250758228
augmented,2025,D_direct,direct,X6,5,isotonic,2,0,ok,,2826,0.1622057310289215,0.6786473392613099
