job_id,branch,view,horizon,test_year,formulation,bundle,method,receiving_origin,recipe_selection_max_round,selection_uses_later_labels,mapping_rounds,n_fit,n_fit_copies,sum_weight,status,calibration_status,calibration_reason
y2025_h00_o2025-04,original,D_direct,0,2025,direct,X1,shift,2025-04,2024-07,False,2023-08;2024-01;2024-07,2448,0,1303.647116269838,completed,ok,
y2025_h00_o2025-04,original,D_residual,0,2025,residual,X1,isotonic,2025-04,2024-07,False,2023-08;2024-01;2024-07,2448,0,1303.647116269838,completed,ok,
y2025_h00_o2025-04,original,D_selected,0,2025,direct,X1,shift,2025-04,2024-07,False,2023-08;2024-01;2024-07,2448,0,1303.647116269838,completed,ok,
y2025_h00_o2025-04,augmented,D_direct,0,2025,direct,X1,none,2025-04,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3445.377479736311,completed,ok,
y2025_h00_o2025-04,augmented,D_residual,0,2025,residual,X3,isotonic,2025-04,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3445.377479736311,completed,ok,
y2025_h00_o2025-04,augmented,D_selected,0,2025,direct,X1,none,2025-04,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3445.377479736311,completed,ok,
y2025_h00_o2025-07,original,D_direct,0,2025,direct,X1,shift,2025-07,2024-07,False,2023-08;2024-01;2024-07,2448,0,1195.449676531552,completed,ok,
y2025_h00_o2025-07,original,D_residual,0,2025,residual,X1,isotonic,2025-07,2024-07,False,2023-08;2024-01;2024-07,2448,0,1195.449676531552,completed,ok,
y2025_h00_o2025-07,original,D_selected,0,2025,direct,X1,shift,2025-07,2024-07,False,2023-08;2024-01;2024-07,2448,0,1195.449676531552,completed,ok,
y2025_h00_o2025-07,augmented,D_direct,0,2025,direct,X1,none,2025-07,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3159.425079284518,completed,ok,
y2025_h00_o2025-07,augmented,D_residual,0,2025,residual,X3,isotonic,2025-07,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3159.425079284518,completed,ok,
y2025_h00_o2025-07,augmented,D_selected,0,2025,direct,X1,none,2025-07,2024-07,False,2023-08;2024-01;2024-07,6237,3789,3159.425079284518,completed,ok,
y2025_h00_o2025-09,original,D_direct,0,2025,direct,X1,shift,2025-09,2024-07,False,2023-08;2024-01;2024-07,2448,0,1128.3542417817716,completed,ok,
y2025_h00_o2025-09,original,D_residual,0,2025,residual,X1,isotonic,2025-09,2024-07,False,2023-08;2024-01;2024-07,2448,0,1128.3542417817716,completed,ok,
y2025_h00_o2025-09,original,D_selected,0,2025,direct,X1,shift,2025-09,2024-07,False,2023-08;2024-01;2024-07,2448,0,1128.3542417817716,completed,ok,
y2025_h00_o2025-09,augmented,D_direct,0,2025,direct,X1,none,2025-09,2024-07,False,2023-08;2024-01;2024-07,6237,3789,2982.100175178979,completed,ok,
