check,pass,detail
final_bias_2025_h12_B,True,
raw_r2_2025_h12_B,True,
final_auc_2025_h12_B,True,
binary_recall_2025_h12_B,True,
final_bound_2025_h12_B,True,
coverage_2025_h12_C,True,0 missing
final_r2_2025_h12_C,True,
final_rmse_2025_h12_C,True,
final_bias_2025_h12_C,True,
raw_r2_2025_h12_C,True,
final_auc_2025_h12_C,True,
binary_recall_2025_h12_C,True,
final_bound_2025_h12_C,True,
coverage_2025_h12_D_direct,True,0 missing
final_r2_2025_h12_D_direct,True,
final_rmse_2025_h12_D_direct,True,
final_bias_2025_h12_D_direct,True,
raw_r2_2025_h12_D_direct,True,
final_auc_2025_h12_D_direct,True,
binary_recall_2025_h12_D_direct,True,
final_bound_2025_h12_D_direct,True,
coverage_2025_h12_D_residual,True,0 missing
final_r2_2025_h12_D_residual,True,
final_rmse_2025_h12_D_residual,True,
final_bias_2025_h12_D_residual,True,
raw_r2_2025_h12_D_residual,True,
final_auc_2025_h12_D_residual,True,
binary_recall_2025_h12_D_residual,True,
final_bound_2025_h12_D_residual,True,
coverage_2025_h12_D_selected,True,0 missing
final_r2_2025_h12_D_selected,True,
final_rmse_2025_h12_D_selected,True,
final_bias_2025_h12_D_selected,True,
raw_r2_2025_h12_D_selected,True,
final_auc_2025_h12_D_selected,True,
binary_recall_2025_h12_D_selected,True,
final_bound_2025_h12_D_selected,True,
coverage_2026_h0_A,True,0 missing
final_r2_2026_h0_A,True,
final_rmse_2026_h0_A,True,
final_bias_2026_h0_A,True,
raw_r2_2026_h0_A,True,
final_auc_2026_h0_A,True,
binary_recall_2026_h0_A,True,
final_bound_2026_h0_A,True,
coverage_2026_h0_B,True,0 missing
final_r2_2026_h0_B,True,
final_rmse_2026_h0_B,True,
final_bias_2026_h0_B,True,
raw_r2_2026_h0_B,True,
final_auc_2026_h0_B,True,
binary_recall_2026_h0_B,True,
final_bound_2026_h0_B,True,
coverage_2026_h0_C,True,0 missing
final_r2_2026_h0_C,True,
final_rmse_2026_h0_C,True,
final_bias_2026_h0_C,True,
raw_r2_2026_h0_C,True,
final_auc_2026_h0_C,True,
binary_recall_2026_h0_C,True,
final_bound_2026_h0_C,True,
coverage_2026_h0_D_direct,True,0 missing
final_r2_2026_h0_D_direct,True,
final_rmse_2026_h0_D_direct,True,
final_bias_2026_h0_D_direct,True,
raw_r2_2026_h0_D_direct,True,
final_auc_2026_h0_D_direct,True,
binary_recall_2026_h0_D_direct,True,
final_bound_2026_h0_D_direct,True,
coverage_2026_h0_D_residual,True,0 missing
final_r2_2026_h0_D_residual,True,
final_rmse_2026_h0_D_residual,True,
final_bias_2026_h0_D_residual,True,
raw_r2_2026_h0_D_residual,True,
final_auc_2026_h0_D_residual,True,
binary_recall_2026_h0_D_residual,True,
final_bound_2026_h0_D_residual,True,
coverage_2026_h0_D_selected,True,0 missing
final_r2_2026_h0_D_selected,True,
final_rmse_2026_h0_D_selected,True,
final_bias_2026_h0_D_selected,True,
raw_r2_2026_h0_D_selected,True,
final_auc_2026_h0_D_selected,True,
binary_recall_2026_h0_D_selected,True,
final_bound_2026_h0_D_selected,True,
coverage_2026_h12_A,True,0 missing
final_r2_2026_h12_A,True,
final_rmse_2026_h12_A,True,
final_bias_2026_h12_A,True,
raw_r2_2026_h12_A,True,
final_auc_2026_h12_A,True,
binary_recall_2026_h12_A,True,
final_bound_2026_h12_A,True,
coverage_2026_h12_B,True,0 missing
final_r2_2026_h12_B,True,
final_rmse_2026_h12_B,True,
final_bias_2026_h12_B,True,
raw_r2_2026_h12_B,True,
final_auc_2026_h12_B,True,
binary_recall_2026_h12_B,True,
final_bound_2026_h12_B,True,
coverage_2026_h12_C,True,0 missing
final_r2_2026_h12_C,True,
final_rmse_2026_h12_C,True,
final_bias_2026_h12_C,True,
raw_r2_2026_h12_C,True,
final_auc_2026_h12_C,True,
binary_recall_2026_h12_C,True,
final_bound_2026_h12_C,True,
coverage_2026_h12_D_direct,True,0 missing
final_r2_2026_h12_D_direct,True,
final_rmse_2026_h12_D_direct,True,
final_bias_2026_h12_D_direct,True,
raw_r2_2026_h12_D_direct,True,
final_auc_2026_h12_D_direct,True,
binary_recall_2026_h12_D_direct,True,
final_bound_2026_h12_D_direct,True,
coverage_2026_h12_D_residual,True,0 missing
final_r2_2026_h12_D_residual,True,
final_rmse_2026_h12_D_residual,True,
final_bias_2026_h12_D_residual,True,
raw_r2_2026_h12_D_residual,True,
final_auc_2026_h12_D_residual,True,
binary_recall_2026_h12_D_residual,True,
final_bound_2026_h12_D_residual,True,
coverage_2026_h12_D_selected,True,0 missing
final_r2_2026_h12_D_selected,True,
final_rmse_2026_h12_D_selected,True,
final_bias_2026_h12_D_selected,True,
raw_r2_2026_h12_D_selected,True,
final_auc_2026_h12_D_selected,True,
binary_recall_2026_h12_D_selected,True,
final_bound_2026_h12_D_selected,True,
oof_fit_labels_before_cutoff,True,
oof_cutoff_h_and_self_exclusion,True,
oof_labels_in_fold_window,True,
final_fit_labels_before_origin,True,
final_fit_labels_before_test_year,True,
mapping_months_before_origin,True,
long_horizon_flags_disclosed,True,
bootstrap_y2025_h00_D_direct-v1_D_isotonic__r2,True,
bootstrap_whole_area_y2025_h00_D_direct-v1_D_isotonic__r2,True,
bootstrap_y2025_h00_D_direct-v1_D_isotonic__rmse,True,
bootstrap_whole_area_y2025_h00_D_direct-v1_D_isotonic__rmse,True,
bootstrap_y2025_h00_D_direct-v1_D_isotonic__auc,True,
bootstrap_whole_area_y2025_h00_D_direct-v1_D_isotonic__auc,True,
bootstrap_y2025_h00_D_residual-D_direct__r2,True,
bootstrap_whole_area_y2025_h00_D_residual-D_direct__r2,True,
bootstrap_y2025_h00_D_residual-D_direct__rmse,True,
bootstrap_whole_area_y2025_h00_D_residual-D_direct__rmse,True,
bootstrap_y2025_h00_D_residual-D_direct__auc,True,
