test_year,horizon,cohort,contrast,metric,n,n_areas,point_delta,ci_low,ci_high,interval_status,interval_reason,undefined_draws
2025,0,primary,D_direct-v1_D_isotonic,r2,1876,904,-0.5069505193000884,-0.5991057323514482,-0.4226854424158672,ok,,0
2025,0,primary,D_direct-v1_D_isotonic,rmse,1876,904,0.030816736368421957,0.02673474246181173,0.034714884825926814,ok,,0
2025,0,primary,D_direct-v1_D_isotonic,auc,1876,904,0.01926331559406358,0.005976858404891169,0.0322941863574017,ok,,0
2025,0,primary,D_residual-D_direct,r2,1876,904,0.544543752648529,0.4630256748492331,0.6318324415762688,ok,,0
2025,0,primary,D_residual-D_direct,rmse,1876,904,-0.03341565089734436,-0.03697302449255853,-0.029707874777176624,ok,,0
2025,0,primary,D_residual-D_direct,auc,1876,904,0.07448207770005821,0.06093770560804052,0.08823929969958783,ok,,0
2025,0,share_history_subset,D_selected-share_persistence,r2,1862,904,0.7661084936146801,0.6445637196622193,0.8981742790809004,ok,,0
2025,0,share_history_subset,D_selected-share_persistence,rmse,1862,904,-0.0452000003193371,-0.050640318057314775,-0.03985768278051369,ok,,0
2025,0,share_history_subset,D_selected-share_persistence,auc,1862,904,-0.043368875531855755,-0.0525592846220077,-0.03398999482454731,ok,,0
2025,3,primary,D_direct-v1_D_isotonic,r2,275,132,-1.0107119788271173,-1.3302339212623564,-0.7680560673550472,ok,,0
2025,3,primary,D_direct-v1_D_isotonic,rmse,275,132,0.056076670047825294,0.047453921765097926,0.06441058750379772,ok,,0
2025,3,primary,D_direct-v1_D_isotonic,auc,275,132,-0.04587301587301584,-0.07441462874003958,-0.0174548911017213,ok,,0
2025,3,primary,D_residual-D_direct,r2,275,132,0.9363332663906123,0.69142387889116,1.2687548089067746,ok,,0
2025,3,primary,D_residual-D_direct,rmse,275,132,-0.05112692474953137,-0.06076489949181853,-0.04174977063867767,ok,,0
2025,3,primary,D_residual-D_direct,auc,275,132,0.08232804232804225,0.021449649083214443,0.13981938346381698,ok,,0
2025,3,share_history_subset,D_selected-share_persistence,r2,268,132,0.48315598007295935,0.2569739103179057,0.748420140604707,ok,,0
2025,3,share_history_subset,D_selected-share_persistence,rmse,268,132,-0.0287917320603836,-0.04049982284918397,-0.016509912644455945,ok,,0
2025,3,share_history_subset,D_selected-share_persistence,auc,268,132,-0.06753666833974681,-0.10364987162393396,-0.030545448502777142,ok,,0
2025,6,primary,D_direct-v1_D_isotonic,r2,275,132,-0.7192872360308326,-1.0415680582786555,-0.46402378311698994,ok,,0
2025,6,primary,D_direct-v1_D_isotonic,rmse,275,132,0.041607804605980125,0.029345091196588593,0.05333095997307592,ok,,0
2025,6,primary,D_direct-v1_D_isotonic,auc,275,132,0.0251851851851852,-0.017396724893756745,0.06671005764404485,ok,,0
2025,6,primary,D_residual-D_direct,r2,275,132,0.6954060580992638,0.43858493487341915,1.033285982349332,ok,,0
2025,6,primary,D_residual-D_direct,rmse,275,132,-0.04000954844648166,-0.05262337054115028,-0.02731400667359953,ok,,0
2025,6,primary,D_residual-D_direct,auc,275,132,-0.13296296296296306,-0.1838202941484899,-0.08366484664396932,ok,,0
2025,6,share_history_subset,D_selected-share_persistence,r2,267,132,0.4171414719041071,0.1612198992813226,0.727097616145581,ok,,0
2025,6,share_history_subset,D_selected-share_persistence,rmse,267,132,-0.02526816945551666,-0.03994308278515685,-0.010690614755593447,ok,,0
2025,6,share_history_subset,D_selected-share_persistence,auc,267,132,-0.20250533647904723,-0.2584435721171285,-0.14596419645799694,ok,,0
2025,12,primary,D_direct-v1_D_isotonic,r2,1100,904,-0.08533628153152151,-0.15714075691468463,-0.021738631307746458,ok,,0
2025,12,primary,D_direct-v1_D_isotonic,rmse,1100,904,0.00543917780542591,0.0014304422229995811,0.009577236287543594,ok,,0
2025,12,primary,D_direct-v1_D_isotonic,auc,1100,904,0.030324526504816762,-0.0028162194247740033,0.06212637482361825,ok,,0
2025,12,primary,D_residual-D_direct,r2,1100,904,-0.6590946945515388,-0.8123361487140323,-0.5032410546148068,ok,,0
2025,12,primary,D_residual-D_direct,rmse,1100,904,0.03687989213937287,0.02811652378938509,0.0449298195183354,ok,,0
2025,12,primary,D_residual-D_direct,auc,1100,904,0.09064782937968574,0.05629731152727581,0.12237726500443706,ok,,0
2025,12,share_history_subset,D_selected-share_persistence,r2,1073,887,0.06543930645121554,-0.15240292204423986,0.30948576819305296,ok,,0
2025,12,share_history_subset,D_selected-share_persistence,rmse,1073,887,-0.003289046977730109,-0.01524008855997808,0.007835549941315604,ok,,0
2025,12,share_history_subset,D_selected-share_persistence,auc,1073,887,-0.10067750677506793,-0.12768244811781318,-0.07716410497951842,ok,,0
2026,0,primary,D_direct-v1_D_isotonic,r2,904,904,-0.0015665368609012464,-0.02368722229566151,0.01981209488076532,ok,,0
2026,0,primary,D_direct-v1_D_isotonic,rmse,904,904,0.0001581569245467651,-0.001972415818556886,0.0024302054500371442,ok,,0
2026,0,primary,D_direct-v1_D_isotonic,auc,904,904,0.0050004328276886945,0.0008513478127887275,0.009241498596226092,ok,,0
2026,0,primary,D_residual-D_direct,r2,904,904,-0.1507661591190036,-0.20028034077650966,-0.10070887774932656,ok,,0
2026,0,primary,D_residual-D_direct,rmse,904,904,0.014547762576394313,0.009593020964954764,0.019286780985420984,ok,,0
2026,0,primary,D_residual-D_direct,auc,904,904,-0.049207416120539915,-0.07020881536164597,-0.027954269338947204,ok,,0
2026,0,share_history_subset,D_selected-share_persistence,r2,904,904,-0.15803108934914023,-0.20731931634506745,-0.10927089403251913,ok,,0
2026,0,share_history_subset,D_selected-share_persistence,rmse,904,904,0.015282560933054495,0.010281946653825959,0.020481965743681378,ok,,0
2026,0,share_history_subset,D_selected-share_persistence,auc,904,904,-0.06551483580554318,-0.09296932020090252,-0.03787230053447605,ok,,0
2026,12,primary,D_direct-v1_D_isotonic,r2,132,132,-0.30914133440490366,-0.42538262334414284,-0.21465988807137887,ok,,0
2026,12,primary,D_direct-v1_D_isotonic,rmse,132,132,0.02414502583669989,0.01766816920026686,0.03014062207760752,ok,,0
2026,12,primary,D_direct-v1_D_isotonic,auc,132,132,0.004236262406197122,-0.023560114205256596,0.030771059782608582,ok,,0
2026,12,primary,D_residual-D_direct,r2,132,132,-1.1592603078717088,-1.430536560280613,-0.9660534021391309,ok,,0
2026,12,primary,D_residual-D_direct,rmse,132,132,0.07331475395114792,0.06396218121385022,0.08269330012689312,ok,,0
2026,12,primary,D_residual-D_direct,auc,132,132,0.001331396756233394,-0.10037346487797252,0.10674402729124055,ok,,0
2026,12,share_history_subset,D_selected-share_persistence,r2,132,132,-1.4439063405736439,-1.8469326843271618,-1.1182528939787366,ok,,0
2026,12,share_history_subset,D_selected-share_persistence,rmse,132,132,0.0954388072765032,0.0738945952682762,0.11689965918163968,ok,,0
2026,12,share_history_subset,D_selected-share_persistence,auc,132,132,-0.08629871701767122,-0.1703221424833578,-0.0013124978045259115,ok,,0
