test_year,horizon,n_primary,n_wider_only,n_excluded,cohort,view,status,reason,n,n_areas,raw_r2,raw_rmse,raw_mae,raw_bias,raw_mean_truth,raw_mean_pred,final_r2,final_rmse,final_mae,final_bias,final_mean_truth,final_mean_pred,raw_auc,final_auc,final_within_month_auc,within_month_auc_months,within_month_auc_undefined_months,raw_within_month_auc,bin_f1,bin_recall,bin_precision,bin_f2,bin_tp,bin_fp,bin_fn,bin_tn,legacy_phase_accuracy,legacy_f1,legacy_recall,legacy_precision,legacy_f2,legacy_tp,legacy_fp,legacy_fn,legacy_tn,q3_binary_vs_legacy_disagreements,n_clipped,n_fallback_direct,n_residual_branch
2025,0,1876,0,0,primary,A,ok,,1876.0,904.0,-0.5807715667817699,0.1631069791213641,0.13954927964028774,0.09734303410659467,0.22492004264392326,0.3222630767505179,-0.04092813674792972,0.13235744053318702,0.11051361558785443,0.019755295884311293,0.22492004264392326,0.24467533852823445,0.5625209265863924,0.5625209265863924,0.6436993657138045,3.0,1.0,0.6436993657138045,0.6916108704214258,0.871896722939424,0.5731070496083551,0.789568345323741,878.0,654.0,129.0,215.0,0.4914712153518124,0.7020607754104087,0.9980139026812314,0.5414870689655172,0.8540108769544528,1005.0,851.0,2.0,18.0,324.0,0.0,0.0,0.0
2025,0,1876,0,0,share_history_subset,A,ok,,1862.0,904.0,-0.5739501146304964,0.16286103181131473,0.1392806371255797,0.09675705139990395,0.22569817400644468,0.32245522540634863,-0.040207463837464985,0.1323980787426468,0.11058656403081246,0.019169313177620585,0.22569817400644468,0.24486748718406517,0.5603232242061649,0.5603232242061649,0.6435368774783382,3.0,1.0,0.6435368774783382,0.6935547647291419,0.8717693836978131,0.5758371634931058,0.7905173967910583,877.0,646.0,129.0,210.0,0.49462943071965626,0.7050561797752809,0.9980119284294234,0.5450597176981542,0.8557790658029322,1004.0,838.0,2.0,18.0,319.0,0.0,0.0,0.0
2025,0,1876,0,0,primary,B,ok,,1876.0,904.0,-0.37196428778374324,0.15195303887755593,0.13087653712645522,0.0749970126142507,0.22492004264392326,0.2999170552581739,-0.038997172729238194,0.1322346193301879,0.10772699909126693,-0.004562940536293624,0.22492004264392326,0.22035710210762954,0.5384969197207579,0.5384969197207579,0.44495787168425754,3.0,1.0,0.44495787168425754,0.6356394129979036,0.7527308838133069,0.5500725689404935,0.7010728819829819,758.0,620.0,249.0,249.0,0.4957356076759062,0.7017421602787457,1.0,0.5405260332796564,0.8546936004074012,1007.0,856.0,0.0,13.0,485.0,0.0,0.0,0.0
2025,0,1876,0,0,share_history_subset,B,ok,,1862.0,904.0,-0.3637161189187672,0.15159458452380545,0.13055162829467998,0.07425195698163178,0.22569817400644468,0.2999501309880765,-0.038218850542439675,0.13227146239711832,0.10778853440950818,-0.005307996168912522,0.22569817400644468,0.2203901778375321,0.5383626976459003,0.5383626976459003,0.44459505488530443,3.0,1.0,0.44459505488530443,0.6374736842105263,0.7524850894632207,0.5529583637691746,0.701835712961246,757.0,612.0,249.0,244.0,0.4983888292158969,0.7044817927170869,1.0,0.5437837837837838,0.8563159686755193,1006.0,844.0,0.0,12.0,481.0,0.0,0.0,0.0
2025,0,1876,0,0,primary,C,ok,,1876.0,904.0,-0.37196428778374324,0.15195303887755593,0.13087653712645522,0.0749970126142507,0.22492004264392326,0.2999170552581739,-0.038997172729238194,0.1322346193301879,0.10772699909126693,-0.004562940536293624,0.22492004264392326,0.22035710210762954,0.5384969197207579,0.5384969197207579,0.44495787168425754,3.0,1.0,0.44495787168425754,0.6356394129979036,0.7527308838133069,0.5500725689404935,0.7010728819829819,758.0,620.0,249.0,249.0,0.4957356076759062,0.7017421602787457,1.0,0.5405260332796564,0.8546936004074012,1007.0,856.0,0.0,13.0,485.0,0.0,0.0,0.0
2025,0,1876,0,0,share_history_subset,C,ok,,1862.0,904.0,-0.3637161189187672,0.15159458452380545,0.13055162829467998,0.07425195698163178,0.22569817400644468,0.2999501309880765,-0.038218850542439675,0.13227146239711832,0.10778853440950818,-0.005307996168912522,0.22569817400644468,0.2203901778375321,0.5383626976459003,0.5383626976459003,0.44459505488530443,3.0,1.0,0.44459505488530443,0.6374736842105263,0.7524850894632207,0.5529583637691746,0.701835712961246,757.0,612.0,249.0,244.0,0.4983888292158969,0.7044817927170869,1.0,0.5437837837837838,0.8563159686755193,1006.0,844.0,0.0,12.0,481.0,0.0,0.0,0.0
2025,0,1876,0,0,primary,D_direct,ok,,1876.0,904.0,-0.4061893209908318,0.15383667486296082,0.11975665053706179,0.06712289310372206,0.22492004264392326,0.2920429357476453,-0.4061893209908318,0.15383667486296082,0.11975665053706179,0.06712289310372206,0.22492004264392326,0.2920429357476453,0.6397353165356886,0.6397353165356886,0.7066090223939847,3.0,1.0,0.7066090223939847,0.7280954339777869,0.8788480635551142,0.6214887640449438,0.8116287600880411,885.0,539.0,122.0,330.0,0.6012793176972282,0.7280954339777869,0.8788480635551142,0.6214887640449438,0.8116287600880411,885.0,539.0,122.0,330.0,0.0,0.0,0.0,0.0
2025,0,1876,0,0,share_history_subset,D_direct,ok,,1862.0,904.0,-0.3791928524311359,0.1524523766154019,0.11861517843575278,0.06558567846532028,0.22569817400644468,0.29128385247176497,-0.3791928524311359,0.1524523766154019,0.11861517843575278,0.06558567846532028,0.22569817400644468,0.29128385247176497,0.6450183246316493,0.6450183246316493,0.7079338160525461,3.0,1.0,0.7079338160525461,0.7317880794701986,0.878727634194831,0.6269503546099291,0.8133971291866029,884.0,526.0,122.0,330.0,0.6052631578947368,0.7317880794701986,0.878727634194831,0.6269503546099291,0.8133971291866029,884.0,526.0,122.0,330.0,0.0,0.0,0.0,0.0
2025,0,1876,0,0,primary,D_residual,ok,,1876.0,904.0,-0.5972401979788842,0.16395440983479695,0.12256503406775755,0.06563335952976844,0.22492004264392326,0.29055340217369163,0.13835443165769712,0.12042102396561646,0.10027250148832247,0.020657368847178535,0.22492004264392326,0.24557741149110177,0.7164434687909603,0.7142173942357468,0.7315396541589317,3.0,1.0,0.7423916775793667,0.7361111111111112,0.9473684210526315,0.6018927444794953,0.8498129342597541,954.0,631.0,53.0,238.0,0.6540511727078892,0.7501090274749237,0.8540218470705064,0.6687402799377916,0.8091832894241626,860.0,426.0,147.0,443.0,305.0,0.0,14.0,1862.0
2025,0,1876,0,0,share_history_subset,D_residual,ok,,1862.0,904.0,-0.5780786854931463,0.16307448932680024,0.12165712055821905,0.06429738831693678,0.22569817400644468,0.28999556232338153,0.14246168477812693,0.12021217834302692,0.10003358314556487,0.01981984048456273,0.22569817400644468,0.24551801449100744,0.7212327669497036,0.715647702569629,0.7311653808610622,3.0,1.0,0.7435751767112383,0.7387596899224806,0.9473161033797217,0.6054637865311309,0.8511968560200072,953.0,621.0,53.0,235.0,0.6584317937701396,0.7541703248463565,0.8538767395626242,0.675314465408805,0.8109894259818731,859.0,413.0,147.0,443.0,302.0,0.0,0.0,1862.0
