test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,specification,status,reason,tp,fp,fn,tn,n,precision,precision_reason,recall,recall_reason,f1,f1_reason,f2,f2_reason,prevalence,accuracy,accuracy_reason,r2_q3,r2_q3_reason,predicted_prevalence,n_actual_phase1,n_pred_phase1,n_actual_phase2,n_pred_phase2,n_actual_phase3,n_pred_phase3,n_actual_phase4,n_pred_phase4,n_actual_phase5,n_pred_phase5,mean_q3_pred
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,persistence,ok,,738.0,251.0,268.0,607.0,1864.0,0.7462082912032356,,0.7335984095427436,,0.7398496240601504,,0.7360861759425493,,0.5396995708154506,0.6013948497854077,,,not applicable: phase-only baseline,,,,,,,,,,,,
2025,0,persistence_subset,1864,904,2025-04;2025-07;2025-09;2025-10,acb15f48d388c2b9e264593cad2f71c9f570d32547b58e8328ebd06b67d37c4c,always_crisis,ok,,1006.0,858.0,0.0,0.0,1864.0,0.5396995708154506,,1.0,,0.7010452961672474,,0.8542798913043478,,0.5396995708154506,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,A,ok,,133.0,135.0,7.0,0.0,275.0,0.4962686567164179,,0.95,,0.6519607843137255,,0.8031400966183575,,0.509090909090909,0.4618181818181818,,-0.7462403116026786,,0.9745454545454545,7.0,0.0,128.0,7.0,127.0,268.0,13.0,0.0,0.0,0.0,0.3010905061526732
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,B,ok,,129.0,132.0,11.0,3.0,275.0,0.4942528735632184,,0.9214285714285714,,0.6433915211970075,,0.7856272838002436,,0.509090909090909,0.4618181818181818,,-0.5797303369488405,,0.9490909090909091,7.0,0.0,128.0,14.0,127.0,255.0,13.0,6.0,0.0,0.0,0.29721362428231674
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,C,ok,,131.0,135.0,9.0,0.0,275.0,0.4924812030075188,,0.9357142857142857,,0.645320197044335,,0.7929782082324455,,0.509090909090909,0.4618181818181818,,-0.6410952869797004,,0.9672727272727273,7.0,0.0,128.0,9.0,127.0,266.0,13.0,0.0,0.0,0.0,0.3092094498330897
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,D,ok,,116.0,93.0,24.0,42.0,275.0,0.5550239234449761,,0.8285714285714286,,0.664756446991404,,0.7542262678803641,,0.509090909090909,0.5563636363636364,,-0.3020780588989196,,0.76,7.0,1.0,128.0,65.0,127.0,208.0,13.0,1.0,0.0,0.0,0.27685862730849875
2025,3,primary,275,132,2025-04;2025-07;2025-10,5c22fe6c1f45b7a6642c5825a7ce3047579c116bde74b10be725d0022330869a,always_crisis,ok,,140.0,135.0,0.0,0.0,275.0,0.509090909090909,,1.0,,0.6746987951807228,,0.8383233532934131,,0.509090909090909,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2025,3,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,A,ok,,978.0,861.0,29.0,8.0,1876.0,0.531810766721044,,0.971201588877855,,0.6872803935347856,,0.8334753707175728,,0.5367803837953091,0.4925373134328358,,-0.5075894222391557,,0.9802771855010661,31.0,0.0,838.0,37.0,919.0,1839.0,88.0,0.0,0.0,0.0,0.2958071695239559
2025,3,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,B,ok,,961.0,846.0,46.0,23.0,1876.0,0.5318206972883232,,0.9543197616683218,,0.6830135039090263,,0.8234790059982862,,0.5367803837953091,0.4914712153518124,,-0.48037180824463177,,0.9632196162046909,31.0,0.0,838.0,69.0,919.0,1786.0,88.0,21.0,0.0,0.0,0.3011223639824243
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,A,ok,,132.0,131.0,7.0,0.0,270.0,0.5019011406844106,,0.9496402877697842,,0.6567164179104478,,0.8058608058608059,,0.5148148148148148,0.4666666666666667,,-0.6998897788543925,,0.9740740740740741,7.0,0.0,124.0,7.0,126.0,263.0,13.0,0.0,0.0,0.0,0.30004899783266914
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,B,ok,,128.0,128.0,11.0,3.0,270.0,0.5,,0.920863309352518,,0.6481012658227848,,0.7881773399014779,,0.5148148148148148,0.4666666666666667,,-0.5465890828269333,,0.9481481481481482,7.0,0.0,124.0,14.0,126.0,250.0,13.0,6.0,0.0,0.0,0.2967550930601579
2025,3,persistence_subset,270,132,2025-04;2025-07;2025-10,62cf413be2f13a8aa859fb468d658931ae69c5f17a012214d02043e20aa05f4e,C,ok,,130.0,131.0,9.0,0.0,270.0,0.49808429118773945,,0.935251798561151,,0.65,,0.795593635250918,,0.5148148148148148,0.4666666666666667,,-0.6025244567874843,,0.9666666666666667,7.0,0.0,124.0,9.0,126.0,261.0,13.0,0.0,0.0,0.0,0.30857996118289455
