test_year,horizon,cohort,contrast,point_delta_f2_before,ci_low_before,ci_high_before,point_delta_f2_after,ci_low_after,ci_high_after
2025,0,primary,B-A,-0.0114662564825667,-0.0173495545271563,-0.0060049798155678,-0.0114662564825667,-0.0173495545271563,-0.0060049798155678
2025,0,primary,C-B,0.0,0.0,0.0,0.0,0.0,0.0
2025,0,primary,D-C,0.0052023930185709,-0.0088370896267753,0.0189204923707425,0.0052023930185709,-0.0088370896267753,0.0189204923707425
2025,0,primary,A-always_crisis,0.0018018981262335,-0.0010704306971654,0.004298274477344,0.0018018981262335,-0.0010704306971654,0.004298274477344
2025,0,primary,B-always_crisis,-0.0096643583563331,-0.0159020827702964,-0.0038304126391238,-0.0096643583563331,-0.0159020827702964,-0.0038304126391238
2025,0,primary,C-always_crisis,-0.0096643583563331,-0.0159020827702964,-0.0038304126391238,-0.0096643583563331,-0.0159020827702964,-0.0038304126391238
2025,0,primary,D-always_crisis,-0.0044619653377622,-0.0161391456756579,0.0070265271003098,-0.0044619653377622,-0.0161391456756579,0.0070265271003098
2025,0,persistence_subset,A-persistence,0.1198619380700808,0.0961461345800707,0.1443324681696853,0.1198619380700808,0.0961461345800707,0.1443324681696853
2025,0,persistence_subset,B-persistence,0.1082252013029596,0.0831844469718697,0.1331458944810614,0.1082252013029596,0.0831844469718697,0.1331458944810614
2025,0,persistence_subset,C-persistence,0.1082252013029596,0.0831844469718697,0.1331458944810614,0.1082252013029596,0.0831844469718697,0.1331458944810614
2025,0,persistence_subset,D-persistence,0.1137975241826967,0.0924745768934762,0.1349144844978735,0.1137975241826967,0.0924745768934762,0.1349144844978735
2025,0,persistence_subset,A-always_crisis,0.0016682227082823,-0.0011920003336218,0.0041594858796985,0.0016682227082823,-0.0011920003336218,0.0041594858796985
2025,0,persistence_subset,B-always_crisis,-0.0099685140588388,-0.0163431621507646,-0.004122558200228,-0.0099685140588388,-0.0163431621507646,-0.004122558200228
2025,0,persistence_subset,C-always_crisis,-0.0099685140588388,-0.0163431621507646,-0.004122558200228,-0.0099685140588388,-0.0163431621507646,-0.004122558200228
2025,0,persistence_subset,D-always_crisis,-0.0043961911791017,-0.0161151036580772,0.0071197672712014,-0.0043961911791017,-0.0161151036580772,0.0071197672712014
2025,3,primary,B-A,-0.0101129154298352,-0.0312186506063574,0.0099448067106464,-0.0175128128181139,-0.0388681457533955,0.0005822054422349
2025,3,primary,C-B,0.0,-0.0149701491086988,0.0152119224090657,0.0073509244322018,-0.0049637431458003,0.0237211854593143
2025,3,primary,D-C,-0.0489138287379934,-0.0973042227899247,-0.0068296491303009,-0.0387519403520814,-0.0862058723252909,0.00018865195898
2025,3,primary,A-always_crisis,-0.0250703412452203,-0.0490894440679874,-0.0051350233307224,-0.0351832566750556,-0.0624973193551746,-0.010610216388137
2025,3,primary,B-always_crisis,-0.0351832566750556,-0.0627178859354189,-0.010755021671974,-0.0526960694931695,-0.0860346409926822,-0.0224335282640186
2025,3,primary,C-always_crisis,-0.0351832566750556,-0.0618837804570675,-0.0104375163086192,-0.0453451450609676,-0.0766484391590571,-0.0194047949728058
