polygon_id,year,n,TP_count,TN_count,FP_count,FN_count,error_rate,accuracy
12166992,2024,360,270,15,75,0,0.20833333333333334,0.7916666666666666
12174533,2024,180,180,0,0,0,0.0,1.0
12499319,2024,180,180,0,0,0,0.0,1.0
12511537,2024,360,180,0,180,0,0.5,0.5
12511571,2024,360,360,0,0,0,0.0,1.0
12527613,2024,360,360,0,0,0,0.0,1.0
12693342,2024,360,360,0,0,0,0.0,1.0
12693375,2024,360,180,0,180,0,0.5,0.5
12851443,2024,180,0,0,180,0,1.0,0.0
12856216,2024,360,180,30,120,30,0.4166666666666667,0.5833333333333334
12856219,2024,360,270,0,60,30,0.25,0.75
12856222,2023,360,0,345,0,15,0.041666666666666664,0.9583333333333334
12856225,2023,360,0,330,0,30,0.08333333333333333,0.9166666666666666
12856228,2024,360,165,90,105,0,0.2916666666666667,0.7083333333333334
12856231,2023,360,30,330,0,0,0.0,1.0
12856234,2024,360,270,0,60,30,0.25,0.75
12856237,2024,360,150,45,120,45,0.4583333333333333,0.5416666666666666
12856240,2024,360,90,45,180,45,0.625,0.375
12856243,2024,360,225,30,45,60,0.2916666666666667,0.7083333333333334
12856246,2024,360,195,15,75,75,0.4166666666666667,0.5833333333333334
12856249,2023,360,0,345,0,15,0.041666666666666664,0.9583333333333334
12856252,2024,360,120,90,105,45,0.4166666666666667,0.5833333333333334
12856256,2024,360,225,15,15,105,0.3333333333333333,0.6666666666666666
12856262,2024,360,225,15,45,75,0.3333333333333333,0.6666666666666666
12856269,2024,360,45,210,45,60,0.2916666666666667,0.7083333333333334
12856274,2024,360,225,45,15,75,0.25,0.75
12856280,2024,360,270,15,75,0,0.20833333333333334,0.7916666666666666
12856285,2024,360,210,30,105,15,0.3333333333333333,0.6666666666666666
12856291,2024,360,105,75,60,120,0.5,0.5
12856297,2024,360,105,105,120,30,0.4166666666666667,0.5833333333333334
12856306,2024,360,90,75,195,0,0.5416666666666666,0.4583333333333333
12856312,2023,360,15,300,30,15,0.125,0.875
12856318,2024,360,135,90,135,0,0.375,0.625
12856324,2023,360,0,315,15,30,0.125,0.875
12856330,2024,360,60,90,150,60,0.5833333333333334,0.4166666666666667
12856334,2024,360,150,90,90,30,0.3333333333333333,0.6666666666666666
12856341,2023,225,0,225,0,0,0.0,1.0
12856341,2024,135,135,0,0,0,0.0,1.0
12856348,2023,360,30,330,0,0,0.0,1.0
12856353,2024,360,180,15,150,15,0.4583333333333333,0.5416666666666666
12856357,2024,360,60,75,210,15,0.625,0.375
12856364,2024,360,60,135,150,15,0.4583333333333333,0.5416666666666666
12856371,2024,360,60,180,105,15,0.3333333333333333,0.6666666666666666
12856376,2024,360,195,15,105,45,0.4166666666666667,0.5833333333333334
12859542,2022,180,131,0,49,0,0.2722222222222222,0.7277777777777777
12859544,2022,180,80,84,0,16,0.08888888888888889,0.9111111111111111
12859546,2022,180,64,16,49,51,0.5555555555555556,0.4444444444444444
12859548,2022,180,17,130,16,17,0.18333333333333332,0.8166666666666667
12859550,2022,180,0,82,16,82,0.5444444444444444,0.45555555555555555
12859556,2022,180,81,65,34,0,0.18888888888888888,0.8111111111111111
12859558,2022,180,66,33,32,49,0.45,0.55
12934757,2024,180,180,0,0,0,0.0,1.0
12934830,2024,180,180,0,0,0,0.0,1.0
12934868,2024,180,180,0,0,0,0.0,1.0
12934909,2024,180,180,0,0,0,0.0,1.0
12934991,2024,180,180,0,0,0,0.0,1.0
12935020,2024,180,180,0,0,0,0.0,1.0
12935056,2024,180,180,0,0,0,0.0,1.0
12935072,2024,180,180,0,0,0,0.0,1.0
12935191,2024,180,180,0,0,0,0.0,1.0
12935285,2024,180,180,0,0,0,0.0,1.0
12935291,2024,180,180,0,0,0,0.0,1.0
12935303,2024,180,180,0,0,0,0.0,1.0
12935369,2024,180,180,0,0,0,0.0,1.0
12935431,2024,180,180,0,0,0,0.0,1.0
12935433,2024,180,180,0,0,0,0.0,1.0
12940688,2024,180,0,0,180,0,1.0,0.0
12940691,2024,360,0,0,360,0,1.0,0.0
12940694,2022,180,180,0,0,0,0.0,1.0
12940711,2022,180,52,78,50,0,0.2777777777777778,0.7222222222222222
12959082,2023,180,0,180,0,0,0.0,1.0
12959085,2023,180,22,135,23,0,0.12777777777777777,0.8722222222222222
12959098,2023,180,16,131,0,33,0.18333333333333332,0.8166666666666667
12959102,2023,180,0,131,0,49,0.2722222222222222,0.7277777777777777
12959109,2023,180,0,180,0,0,0.0,1.0
12959116,2023,180,0,144,0,36,0.2,0.8
12959123,2023,180,0,180,0,0,0.0,1.0
12960454,2022,180,17,130,16,17,0.18333333333333332,0.8166666666666667
12960456,2022,180,65,16,49,50,0.55,0.45
12960458,2022,180,131,0,49,0,0.2722222222222222,0.7277777777777777
12960460,2022,180,0,81,16,83,0.55,0.45
12960466,2022,180,81,83,0,16,0.08888888888888889,0.9111111111111111
12960468,2022,180,81,66,33,0,0.18333333333333332,0.8166666666666667
12960470,2022,180,66,32,33,49,0.45555555555555555,0.5444444444444444
13090047,2023,360,306,0,18,36,0.15,0.85
13090050,2023,360,54,36,0,270,0.75,0.25
