polygon_id,year,n,TP_count,TN_count,FP_count,FN_count,error_rate,accuracy
13118411,2023,180,0,180,0,0,0.0,1.0
13118413,2023,180,0,135,0,45,0.25,0.75
13118415,2023,180,0,180,0,0,0.0,1.0
13118417,2023,180,0,180,0,0,0.0,1.0
13118419,2023,180,0,180,0,0,0.0,1.0
13118421,2023,180,0,90,0,90,0.5,0.5
13118423,2023,180,0,180,0,0,0.0,1.0
13118425,2023,180,0,180,0,0,0.0,1.0
13118427,2023,180,0,135,0,45,0.25,0.75
13118429,2023,180,0,135,0,45,0.25,0.75
13118431,2023,180,45,135,0,0,0.0,1.0
13118433,2023,180,0,90,0,90,0.5,0.5
13118435,2023,180,0,180,0,0,0.0,1.0
13118437,2023,180,0,135,0,45,0.25,0.75
13850134,2023,180,72,108,0,0,0.0,1.0
13850181,2023,180,45,90,45,0,0.25,0.75
13850208,2023,180,0,135,45,0,0.25,0.75
13850228,2023,180,0,180,0,0,0.0,1.0
13850234,2023,180,0,180,0,0,0.0,1.0
13850242,2023,180,0,180,0,0,0.0,1.0
13850274,2023,180,0,135,0,45,0.25,0.75
13850324,2023,180,36,108,0,36,0.2,0.8
13850332,2023,180,0,180,0,0,0.0,1.0
13850336,2023,180,0,180,0,0,0.0,1.0
13850423,2023,180,0,180,0,0,0.0,1.0
13850429,2023,180,0,144,36,0,0.2,0.8
13850544,2023,360,144,36,144,36,0.5,0.5
13850547,2023,360,288,0,72,0,0.2,0.8
13850550,2023,180,90,0,90,0,0.5,0.5
13850552,2023,360,252,0,108,0,0.3,0.7
13850555,2023,360,180,60,100,20,0.3333333333333333,0.6666666666666666
13850557,2023,360,342,0,18,0,0.05,0.95
13850560,2023,360,306,0,36,18,0.15,0.85
13850562,2023,360,0,342,0,18,0.05,0.95
13850564,2023,360,234,72,36,18,0.15,0.85
13850566,2023,360,324,0,18,18,0.1,0.9
13850571,2023,360,306,0,54,0,0.15,0.85
13850574,2023,360,234,0,126,0,0.35,0.65
13850576,2023,360,288,0,18,54,0.2,0.8
13850578,2023,360,234,0,108,18,0.35,0.65
13850580,2023,360,198,18,108,36,0.4,0.6
13850582,2023,360,306,0,18,36,0.15,0.85
13850585,2023,360,288,0,72,0,0.2,0.8
13850587,2023,360,216,72,54,18,0.2,0.8
13850589,2023,360,144,72,90,54,0.4,0.6
13850591,2023,360,252,18,72,18,0.25,0.75
13850596,2023,360,306,0,18,36,0.15,0.85
13850598,2023,360,306,0,54,0,0.15,0.85
13850600,2023,360,216,0,144,0,0.4,0.6
13850602,2023,360,144,54,144,18,0.45,0.55
13850604,2023,360,270,36,18,36,0.15,0.85
13850606,2023,360,198,0,162,0,0.45,0.55
13850608,2023,360,342,0,18,0,0.05,0.95
13850610,2023,360,180,54,90,36,0.35,0.65
13850612,2023,360,180,18,54,108,0.45,0.55
13850614,2023,360,126,144,18,72,0.25,0.75
13850619,2023,360,54,36,0,270,0.75,0.25
13850621,2023,360,198,0,162,0,0.45,0.55
13850625,2023,360,18,288,36,18,0.15,0.85
13850627,2023,360,90,36,162,72,0.65,0.35
13850629,2023,360,72,108,108,72,0.5,0.5
13850631,2023,360,324,0,0,36,0.1,0.9
13850633,2023,360,126,54,108,72,0.5,0.5
13850637,2023,360,234,18,90,18,0.3,0.7
13850639,2023,360,306,0,36,18,0.15,0.85
13850641,2023,360,288,0,18,54,0.2,0.8
13850643,2023,360,360,0,0,0,0.0,1.0
13850647,2023,360,306,18,18,18,0.1,0.9
13850649,2023,360,360,0,0,0,0.0,1.0
13850651,2023,360,72,252,0,36,0.1,0.9
13850653,2023,360,162,90,90,18,0.3,0.7
13850655,2023,360,288,18,54,0,0.15,0.85
13850657,2023,360,108,54,126,72,0.55,0.45
13850659,2023,360,162,162,18,18,0.1,0.9
13850663,2023,360,72,108,162,18,0.5,0.5
13850665,2023,360,54,162,72,72,0.4,0.6
13850667,2023,360,288,36,36,0,0.1,0.9
13850669,2023,360,234,0,108,18,0.35,0.65
13850671,2023,360,234,36,72,18,0.25,0.75
13850673,2023,360,306,0,36,18,0.15,0.85
13850675,2023,360,270,0,72,18,0.25,0.75
13850677,2023,360,270,0,90,0,0.25,0.75
13850679,2023,360,216,36,108,0,0.3,0.7
13850681,2023,360,90,54,216,0,0.6,0.4
13850683,2023,360,342,0,0,18,0.05,0.95
13850685,2023,360,162,72,126,0,0.35,0.65
13850687,2023,360,270,0,72,18,0.25,0.75
13850689,2023,216,144,18,36,18,0.25,0.75
13850691,2023,360,180,36,54,90,0.4,0.6
13850693,2023,360,360,0,0,0,0.0,1.0
13850695,2023,360,288,36,36,0,0.1,0.9
13850697,2023,360,324,0,36,0,0.1,0.9
13850699,2023,360,306,0,54,0,0.15,0.85
13850701,2023,360,216,36,108,0,0.3,0.7
13850703,2023,360,54,252,0,54,0.15,0.85
13850707,2023,360,180,0,144,36,0.5,0.5
13850709,2023,360,180,54,126,0,0.35,0.65
13909654,2023,180,108,0,36,36,0.4,0.6
13909660,2023,180,54,36,36,54,0.5,0.5
13909664,2023,180,108,0,54,18,0.4,0.6
13909667,2023,180,72,90,18,0,0.1,0.9
13909669,2023,180,90,0,54,36,0.5,0.5
13909671,2023,180,36,18,90,36,0.7,0.3
13909673,2023,180,54,54,0,72,0.4,0.6
13909676,2023,180,126,0,36,18,0.3,0.7
13909679,2023,180,108,0,72,0,0.4,0.6
13909681,2023,180,180,0,0,0,0.0,1.0
13909684,2023,180,36,0,90,54,0.8,0.2
13909689,2023,180,54,0,54,72,0.7,0.3
13909692,2023,180,0,126,36,18,0.3,0.7
13909694,2023,180,18,54,108,0,0.6,0.4
13909701,2023,180,108,0,54,18,0.4,0.6
13909703,2023,180,126,0,54,0,0.3,0.7
13909707,2023,180,180,0,0,0,0.0,1.0
13909709,2023,180,90,36,18,36,0.3,0.7
13909711,2023,180,180,0,0,0,0.0,1.0
13909713,2023,180,54,72,54,0,0.3,0.7
13909715,2023,180,72,0,72,36,0.6,0.4
13909718,2023,180,144,0,36,0,0.2,0.8
13909721,2023,180,180,0,0,0,0.0,1.0
13909724,2023,180,162,0,18,0,0.1,0.9
13909726,2023,180,108,0,36,36,0.4,0.6
13909728,2023,180,90,0,72,18,0.5,0.5
13909731,2023,180,36,0,72,72,0.8,0.2
13909733,2023,180,126,0,54,0,0.3,0.7
13909735,2023,180,72,0,90,18,0.6,0.4
13909737,2023,180,162,0,18,0,0.1,0.9
13909739,2023,180,180,0,0,0,0.0,1.0
13909744,2023,180,90,18,0,72,0.4,0.6
13909746,2023,180,108,0,36,36,0.4,0.6
13909748,2023,180,144,0,18,18,0.2,0.8
13909750,2023,180,126,0,54,0,0.3,0.7
13909752,2023,180,180,0,0,0,0.0,1.0
13909759,2023,180,180,0,0,0,0.0,1.0
13909761,2023,180,162,0,18,0,0.1,0.9
13909765,2023,180,18,54,90,18,0.6,0.4
13909767,2023,180,90,0,72,18,0.5,0.5
13909771,2023,180,54,36,18,72,0.5,0.5
