job_id,view,target,bundle,kind,n_rows,path,sha256,feature_order_sha256
y2025_h00_o2025-07,A,q5,X3,xgboost,3057,y2025_h00_o2025-07_A_q5.ubj,095d307cec5473792bc5f558ee787f7cf4f1739b017e6a39baf64f97f3ee3a52,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-07,A,q3_direct,X3,xgboost,3057,y2025_h00_o2025-07_A_q3_direct.ubj,c50a5b07406ec1e8ef40546a8b6122950c5dd68d101f0308191f3ec6084a2043,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-07,B,q2,X1,xgboost,3057,y2025_h00_o2025-07_B_q2.ubj,c8f927a32f1b810866d30fec7baf426fe821377b2a96f1773e41b5b057c5967b,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-07,B,q4,X1,xgboost,3057,y2025_h00_o2025-07_B_q4.ubj,fcfe930df7415ac93bc5df00cfb8ef1b3d0e9f1538b0e70d02b71be10481e3e5,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-07,B,q5,X1,xgboost,3057,y2025_h00_o2025-07_B_q5.ubj,ded53734feba59219d7de87550642310512b53306ee6f79e0ad1f7e1fef64f05,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-07,B,q3_direct,X1,xgboost,3057,y2025_h00_o2025-07_B_q3_direct.ubj,a20b8e45dd62180de7bcd7642921e6597103865c83b9425d90273f0f83d78419,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-07,D_direct,q2,X1,xgboost,3057,y2025_h00_o2025-07_D_direct_q2.ubj,05f49c9a7f705b5cb1c3e5f9724273c2c0e4332c7a815f970079b67f8a33a8d4,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_direct,q4,X1,xgboost,3057,y2025_h00_o2025-07_D_direct_q4.ubj,93233eae72b63130fc3f2aa5fc1a0bd96b6e835061463da6e6d6a76f74d565ba,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_direct,q5,X1,xgboost,3057,y2025_h00_o2025-07_D_direct_q5.ubj,1a79ca94f9eaf0447e47aef3119fb327aabc52d5c21df2ce43076330619af52f,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_direct,q3_direct,X1,xgboost,3057,y2025_h00_o2025-07_D_direct_q3_direct.ubj,de6745f1301b6b2db5c6a375d3ef2b7c341d045620666318dde016bedb0296a1,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_residual,q2,X6,xgboost,3057,y2025_h00_o2025-07_D_residual_q2.ubj,064bb72fbf4f659f317d6631c48f546079785335e2d885213d58a249b22ebf06,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_residual,q4,X6,xgboost,3057,y2025_h00_o2025-07_D_residual_q4.ubj,e3b84ffd7bdbc906004185650fea0693e18f33097a0352cd33171e4bcc3d7480,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_residual,q5,X6,xgboost,3057,y2025_h00_o2025-07_D_residual_q5.ubj,b2096b02ff17becffbdeb6ae79d84822372b8a9014f1fdf8d7ef85ac05a3969d,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_residual,q3_direct,X6,xgboost,3057,y2025_h00_o2025-07_D_residual_q3_direct.ubj,e559ce3de3b123b6722b3abf299a4164bfd835eb2a20b3f2c0b87d4b631692b1,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-07,D_residual,q3_residual_delta,X6,xgboost,2305,y2025_h00_o2025-07_D_residual_q3_residual_delta.ubj,32426d5090e4a72473f03011fda022101b5ec393033d00c70edc96c520d1d0ba,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,A,q2,X3,xgboost,3057,y2025_h00_o2025-09_A_q2.ubj,9c0b96d53241899b869b6a35e73e799166e9e1c6be9c1fe21ff5cc918a20d544,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-09,A,q4,X3,xgboost,3057,y2025_h00_o2025-09_A_q4.ubj,13e1bb12c84de271988b61c5da47ce906635710c5317487ed6c108ac5985ca6c,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-09,A,q5,X3,xgboost,3057,y2025_h00_o2025-09_A_q5.ubj,cdc216907bd1c4e7304a514d127a7002d3ace3f68f31d98acf490a8e12d77668,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-09,A,q3_direct,X3,xgboost,3057,y2025_h00_o2025-09_A_q3_direct.ubj,6cebc474f8b51fc715e6634cd42b5f63083fc819bb6ad30fee764a0230963e5a,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-09,B,q2,X1,xgboost,3057,y2025_h00_o2025-09_B_q2.ubj,e262208c8c3dce8a19ad505e50ae073a74bb61b2549f9b4dd6cc944740f827d1,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-09,B,q4,X1,xgboost,3057,y2025_h00_o2025-09_B_q4.ubj,4f1fd4a607e1b7e8050a76f12c6c4361bee99bd88c79b65f21f8fa59ca037a9b,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-09,B,q5,X1,xgboost,3057,y2025_h00_o2025-09_B_q5.ubj,a18739312160ba64a247b5cd100edb0647198101773eedee86afefd933850519,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-09,B,q3_direct,X1,xgboost,3057,y2025_h00_o2025-09_B_q3_direct.ubj,caf18d48793e90cc894f05a1e475fe0daee2237c79e5709245a9fa6581bc2fa8,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
y2025_h00_o2025-09,D_direct,q2,X1,xgboost,3057,y2025_h00_o2025-09_D_direct_q2.ubj,0e92de986c8cc7749a928adf6034b4e0ca0689987ff2a4ac8d098621b4f2150d,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_direct,q4,X1,xgboost,3057,y2025_h00_o2025-09_D_direct_q4.ubj,3de5b3f9cc28f7ccb3014673fb371811cae90bbd52d8aad68a4d03cfbb7ea51f,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_direct,q5,X1,xgboost,3057,y2025_h00_o2025-09_D_direct_q5.ubj,060a9b95fb2d5621335024e0c0de989e36552412ccc9442a572387fb08b498fd,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_direct,q3_direct,X1,xgboost,3057,y2025_h00_o2025-09_D_direct_q3_direct.ubj,a303a0de052067f863547505b0371541561368ed01269090efbb17ef3e68c04e,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_residual,q2,X6,xgboost,3057,y2025_h00_o2025-09_D_residual_q2.ubj,4b5c89cefad8eae73f6780c20237dfda07aa81caf16bef39c90cdd471e99afb8,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_residual,q4,X6,xgboost,3057,y2025_h00_o2025-09_D_residual_q4.ubj,55cc8de6972759936a9fc87ea369c83a8666b0c3bddc6c5be65e74ce73c4089c,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_residual,q5,X6,xgboost,3057,y2025_h00_o2025-09_D_residual_q5.ubj,ec275475bc616acb4dd660478c7946284b52ca18817ca544505507f1faa43699,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_residual,q3_direct,X6,xgboost,3057,y2025_h00_o2025-09_D_residual_q3_direct.ubj,cfd66c65085ba0bf248424391b08e5b839517d3f784db03e7152b980ebbe5d98,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-09,D_residual,q3_residual_delta,X6,xgboost,2305,y2025_h00_o2025-09_D_residual_q3_residual_delta.ubj,fd9c29ce863334eaed6f0f9f559572dc349101f540095f1c0c46c532514ef7fb,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h00_o2025-10,A,q2,X3,xgboost,3057,y2025_h00_o2025-10_A_q2.ubj,43b50347e2d126e6e55503dc92eaef9ab86919a817149098421e877eb83f356c,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-10,A,q4,X3,xgboost,3057,y2025_h00_o2025-10_A_q4.ubj,f18fd0d6eec5f36e9e7b82d65a6199277dcc6ca1e048081a9d80f8bc53d3d5bd,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-10,A,q5,X3,xgboost,3057,y2025_h00_o2025-10_A_q5.ubj,c6858a276d497600b90b430d8c91bc1913b522914db6b6aa398561e40a7212a9,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-10,A,q3_direct,X3,xgboost,3057,y2025_h00_o2025-10_A_q3_direct.ubj,639ada93561ac3785246c07edf40b2c503b9b9f036c2c8b19f78ecc5e779f614,ecc9ddb17c6e594e74f015bdda23a088bc9382061af006b77e3ec543d33759b7
y2025_h00_o2025-10,B,q2,X1,xgboost,3057,y2025_h00_o2025-10_B_q2.ubj,b2c43591916cd6289d237cf2d3d8def161f3d3ce681aa389cc8ecb744aea732f,fceaa4e1de1f117a9959f074f29bb3e82be3ea8eddc4bc9848e7e3e8d3187001
