region,delta,metric
0,-0.00316128869744825,accuracy
1,-0.01578672386294888,accuracy
2,0.003342618384401197,accuracy
3,0.01869158878504673,accuracy
4,0.072616996841803,accuracy
5,-0.10588235294117643,accuracy
0,0.0027855153203342198,sensitivity
1,0.06551486913286841,sensitivity
2,-0.028708133971291877,sensitivity
3,0.05166051660516602,sensitivity
4,-0.01630434782608703,sensitivity
5,0.09302325581395343,sensitivity
0,-0.0008987683076572273,precision
1,-0.010232655335748131,precision
2,-0.07943349753694584,precision
3,-0.017582032813125315,precision
4,0.11131065759637193,precision
5,-0.1578631452581032,precision
0,0.0814200193440997,r2_phase3plus
1,-0.17317635888787086,r2_phase3plus
2,-0.05895420933863482,r2_phase3plus
3,-0.02275168592686394,r2_phase3plus
4,0.00227881791652762,r2_phase3plus
5,0.06750521682373412,r2_phase3plus
