region,delta,metric
0,0.04019789734075441,accuracy
1,-0.10910284163319506,accuracy
2,-0.010319410319410305,accuracy
3,-0.1068702290076336,accuracy
4,0.03377194515992432,accuracy
5,0.01834862385321101,accuracy
0,0.05197172344146406,sensitivity
1,-0.13922057346008188,sensitivity
2,-0.035460992907801414,sensitivity
3,-0.297752808988764,sensitivity
4,-0.01187648456057011,sensitivity
5,0.0892857142857143,sensitivity
0,0.004286267352469397,precision
1,-0.020813813156259853,precision
2,0.0833992720367146,precision
3,0.03981481481481475,precision
4,0.03891133093715882,precision
5,-0.015514532600157116,precision
0,-0.14462238415866113,r2_phase3plus
1,-0.24117692660151324,r2_phase3plus
2,0.0001024054171194777,r2_phase3plus
3,-0.10888255463295726,r2_phase3plus
4,0.0012616143557830917,r2_phase3plus
5,0.10144006744387246,r2_phase3plus
