region,delta,metric
0,0.000983683962016757,accuracy
1,0.03701850031280729,accuracy
2,0.006482027106658794,accuracy
3,0.01869158878504673,accuracy
4,0.072616996841803,accuracy
5,-0.10588235294117643,accuracy
6,0.34693877551020413,accuracy
7,-0.02112676056338031,accuracy
8,0.7777777777777777,accuracy
0,0.0028409090909090606,sensitivity
1,0.08745843528452224,sensitivity
2,-0.025641025641025633,sensitivity
3,0.05166051660516602,sensitivity
4,-0.01630434782608703,sensitivity
5,0.09302325581395343,sensitivity
6,-0.21428571428571427,sensitivity
7,0.012779552715655007,sensitivity
8,0.0,sensitivity
0,-0.0013644992880872397,precision
1,0.010187994329698857,precision
2,-0.05404255319148932,precision
3,-0.017582032813125315,precision
4,0.11131065759637193,precision
5,-0.1578631452581032,precision
6,0.5,precision
7,-0.010084698608964437,precision
8,0.0,precision
0,0.13569848028016784,r2_phase3plus
1,0.2752463271447553,r2_phase3plus
2,-0.08825108048302688,r2_phase3plus
3,-0.02275168592686394,r2_phase3plus
4,0.00227881791652762,r2_phase3plus
5,0.06750521682373412,r2_phase3plus
6,0.3350471591411932,r2_phase3plus
7,-0.13249736614409335,r2_phase3plus
8,72.00719999999993,r2_phase3plus
