area_id,region
101039,2
100267,4
100178,2
100541,2
100789,2
100508,2
101164,2
101017,2
101097,2
100481,2
101041,2
100917,2
100258,2
101185,6
100002,4
100443,2
100530,2
101116,4
100145,4
101138,2
101320,6
100940,2
100595,2
100348,2
100040,4
100342,2
100024,4
101101,2
100172,2
101173,6
100568,2
100697,2
101063,2
101311,2
100768,2
100274,2
101139,2
101220,2
100865,2
100228,4
100428,2
101292,2
100198,2
100899,2
100210,2
100019,4
101127,2
100167,4
100275,2
100893,2
101132,2
100011,4
101109,4
100653,2
100905,2
100425,2
100987,2
100439,2
100715,2
101009,2
100154,2
100631,2
100854,2
100017,4
101058,2
101143,2
100886,2
100028,4
101318,4
100866,2
100368,2
101137,2
100058,2
100247,2
100501,2
100426,2
100085,4
101239,2
101096,2
100515,2
100271,2
100341,2
101306,4
100549,4
101263,2
100811,2
101074,2
101225,2
100475,2
100817,2
100103,2
100358,2
100385,2
100797,2
100877,2
100129,4
101064,2
100705,2
100603,2
100862,2
100923,2
100005,4
100467,4
100509,2
100518,4
100190,2
100638,2
101194,2
100112,4
100256,2
100064,2
100576,2
100802,2
100663,2
100525,2
100072,2
100688,2
101046,2
100186,2
101281,2
100872,2
100770,2
100722,2
100847,4
101102,2
100470,2
100976,6
100153,2
100571,2
100254,2
100959,2
100220,2
101128,2
100486,2
101149,2
100229,2
100891,4
100615,2
100369,2
100534,2
100591,2
100156,2
101222,2
101147,4
101304,2
100057,2
100587,4
100352,2
100416,4
101186,2
100087,4
100142,2
100989,2
100720,2
100355,2
100455,2
101244,2
100406,2
100613,2
100237,2
101016,2
100223,2
100098,4
100248,2
100094,2
100537,2
100728,2
100784,2
100082,2
100222,2
100207,2
100871,2
100503,4
100250,2
100163,2
100842,2
100980,2
100650,2
101084,4
100083,2
100105,2
100386,2
100583,2
101301,6
101073,2
100244,2
100397,4
100804,2
100421,2
101305,2
100829,2
100343,4
100930,2
101190,2
101261,2
100564,2
100288,2
101080,2
101214,2
100596,2
100961,2
100180,2
100283,2
101107,2
101038,2
100337,2
100709,4
101169,4
101289,4
101053,6
100013,4
100108,2
100127,2
100680,2
101215,2
100599,2
100400,2
100050,2
100081,4
100307,2
100169,2
100395,2
100692,2
101110,4
100733,2
100701,2
100035,2
100623,2
101081,2
101059,2
100110,4
100004,4
100054,2
100299,2
100855,2
101213,2
100396,2
100202,2
101293,2
100597,2
101224,2
100272,2
100516,2
100392,2
100468,2
100499,2
100723,2
100147,4
100080,2
100092,4
100384,2
100580,2
100306,2
100093,4
100048,4
100007,4
101040,2
100969,2
100975,2
100934,2
101023,2
101203,2
100783,2
101245,2
101124,2
100016,4
100344,2
101021,2
101231,4
100276,2
100661,2
101060,2
101287,2
100417,2
101295,2
100837,2
101240,2
101090,2
101159,2
101323,2
100448,2
100824,2
101172,2
100572,2
100278,2
100714,2
100450,2
100164,2
100490,2
100231,2
100612,2
100778,2
100310,2
101210,2
101202,2
100826,2
101047,2
100560,2
100372,2
100941,2
100179,2
101205,2
101175,2
101313,2
100025,4
100656,2
100810,2
100350,4
100430,2
100020,4
100143,2
100921,2
100839,2
101271,2
101024,2
100168,2
101269,2
100115,2
100106,4
100184,2
100874,2
100748,2
101168,2
101051,2
100376,2
100730,2
100983,2
100965,2
100935,2
101282,2
100418,2
100792,2
101086,2
100841,2
100907,2
100415,2
100144,2
100831,2
100099,4
100160,2
100268,2
100091,4
100561,2
100787,2
100119,4
100033,2
100879,2
100698,2
100546,2
100242,2
101254,2
100166,4
100821,2
100627,2
101242,2
101264,2
100914,2
101020,2
100374,2
100911,2
100782,2
100264,2
100478,2
101129,2
100559,2
100402,2
101083,6
100104,2
100277,2
100900,2
100813,2
100869,2
100139,2
100262,4
100758,2
100673,2
100986,2
101028,2
101233,2
100632,4
101093,2
100555,2
100990,2
100933,2
100970,6
100462,2
100706,2
100009,4
100736,2
100200,2
100544,2
100321,2
100816,2
100270,2
100649,2
101033,2
101195,6
100863,2
100197,4
100830,2
100785,2
100550,2
100598,2
100296,4
100027,4
100329,2
100387,2
100117,4
100401,2
100809,2
100693,2
100507,2
101315,2
100305,2
100205,2
101178,6
101166,2
100412,2
101280,2
100558,2
100491,2
100498,2
100600,2
100992,2
101099,2
100775,2
100141,2
101001,2
100488,2
100857,2
101260,2
100528,2
100850,2
100116,4
101055,2
100183,2
100563,2
100994,2
100121,2
101036,2
100523,2
101029,4
100199,2
100617,2
101230,6
100856,2
100642,2
101144,2
100322,2
100328,2
100630,2
101007,2
101153,2
100215,2
100413,2
100925,2
100015,4
100645,2
101154,4
100367,2
101152,2
100126,2
100068,2
100427,2
100315,2
101140,2
101156,2
100551,2
100695,4
100919,2
100334,2
100079,4
101141,6
100643,2
100109,4
100531,2
100454,2
100075,2
100365,2
100840,2
101114,2
100579,2
100861,2
101162,6
100061,2
100182,2
100230,2
100354,4
101200,2
101106,2
100791,2
100357,2
100157,2
101018,2
100074,4
100740,2
100312,2
100670,2
100628,2
101027,2
100512,4
100317,2
100356,2
100246,2
100690,2
100984,2
101012,2
100010,4
100982,2
100483,2
100590,4
100150,2
101167,2
101113,2
100381,2
100962,2
100308,2
101048,2
101300,2
100495,2
100903,2
101297,2
100517,2
100445,2
101085,4
100311,2
100798,2
100971,4
100174,4
100786,2
100848,2
100394,2
101238,6
101268,2
100226,2
100380,2
100849,2
100077,4
100682,2
100655,2
101120,4
101272,2
101265,2
100588,2
101188,2
100852,2
100818,2
100883,2
100370,4
100214,2
100772,2
100391,2
101321,2
100053,2
100521,2
100696,2
101071,2
100718,2
101218,6
100253,2
100581,2
101161,4
101207,2
100235,4
101135,4
100552,2
100227,2
100191,2
100489,2
101091,2
100431,2
100359,2
100338,2
100815,2
100657,2
100492,2
101270,4
101176,6
100269,2
100176,4
100540,2
100165,2
100703,2
100292,2
100838,2
100988,2
101095,2
100284,2
100888,2
100042,2
100351,2
100681,2
100716,2
100702,2
100353,2
100574,2
100928,2
100071,2
100918,2
100217,2
100951,4
101219,2
100364,2
100957,2
100130,2
100124,4
100316,2
101275,2
100746,2
101197,2
100331,4
100379,2
100533,2
100336,2
100924,2
101076,6
101121,6
100086,2
100181,2
100476,2
100876,2
100647,2
100807,2
100610,2
101061,2
100457,2
100036,4
100218,2
100279,2
101236,2
100414,2
100765,2
101160,2
100734,2
100520,2
100408,2
100887,4
100800,2
100003,4
100155,2
100881,2
100453,2
101145,2
100463,2
100303,2
100752,4
100506,2
100794,2
100170,2
100526,2
101010,2
100605,2
100713,2
100006,4
100022,4
100101,4
100120,2
100773,2
100654,2
100193,4
100708,2
100762,2
100743,2
101133,2
100073,2
100875,2
100828,2
100885,2
100668,2
100149,4
100763,4
101187,2
100287,2
100314,2
100832,2
101217,2
100548,2
101126,2
101294,2
100089,2
100249,2
101142,6
100078,2
100575,4
100867,2
100858,2
100929,2
100594,2
101267,2
100916,2
101148,2
100543,2
100556,2
101252,6
100665,2
100151,2
100710,2
100023,4
100759,2
100756,2
101316,4
100652,2
100171,4
100438,4
100063,2
100363,2
100896,2
100194,2
101221,2
100320,2
101234,2
100963,2
101037,6
100461,2
100188,2
100236,2
101092,2
101279,2
101031,2
101094,2
101253,2
100601,2
100233,4
100158,2
101309,2
100636,2
101005,2
100052,4
100435,2
100059,2
100409,2
100721,2
101088,2
100403,2
101119,2
100878,6
100711,2
100212,2
100686,2
100466,2
101157,2
100671,2
100505,2
100070,2
100814,6
101171,2
100853,2
100410,4
100843,2
100796,2
101274,6
100945,4
100213,2
100128,4
100031,4
100034,2
101035,2
101174,2
100870,2
101310,6
100776,2
100997,2
101324,2
100037,2
101284,2
100766,2
100362,2
100373,2
100519,4
100527,2
100634,2
100008,4
100173,2
101044,2
100620,4
100777,2
101130,6
100378,2
100285,2
100055,2
100586,2
101105,2
100100,2
100065,4
100477,2
100684,2
100675,2
100044,4
100067,2
100504,4
101319,2
100241,2
101075,2
101151,2
100066,2
100806,2
100973,2
100039,2
100216,2
100514,2
100001,4
100567,2
101134,6
100224,4
100204,2
100319,2
100606,2
100922,2
100304,2
101249,2
101034,2
100111,4
100926,2
101002,2
100864,2
101089,2
101223,2
100302,2
101067,6
101250,2
101019,2
100196,2
100419,4
100383,2
100609,2
100735,2
101201,2
100607,4
100102,2
100753,2
100949,2
100808,2
100936,2
100398,2
101307,2
100333,2
100731,2
100330,4
101042,2
100056,4
100890,2
100522,2
100780,2
100906,2
100095,2
100382,2
100332,2
101256,6
101209,2
100294,2
101189,2
101235,2
100219,2
100635,2
101288,2
100255,2
100177,2
101057,2
100664,2
100851,2
100405,2
100873,2
100510,2
100897,2
101273,2
100371,2
100265,2
101004,2
100132,4
100295,2
100836,2
101065,2
100493,4
100497,2
100749,2
100388,2
100641,2
100667,2
100967,2
101227,4
101087,2
100266,2
100162,2
100577,2
100148,2
100474,2
100676,4
100473,2
100662,2
100562,2
100107,2
101022,4
100781,2
100757,6
100203,2
101006,2
100447,2
100754,2
101206,4
100090,2
100118,2
100954,2
101204,2
100281,2
101226,4
100062,2
100456,2
100452,2
100449,4
100825,2
101003,6
101079,2
100259,2
101285,2
100614,2
100991,2
100298,4
101247,4
100347,2
100672,2
101199,6
100972,2
100021,4
100211,2
100913,2
100761,2
100947,6
100446,4
100441,2
100539,4
100685,2
100060,4
100252,4
100771,2
101054,2
100335,2
100313,2
100602,2
101150,2
101241,6
101011,2
100030,4
100097,4
101008,2
100660,2
100694,2
100444,2
100300,2
100799,2
100573,2
100739,2
100261,2
101131,2
100904,2
100823,2
100542,2
100699,2
100251,2
100952,2
101257,2
100834,2
100669,2
101296,4
100134,2
100939,2
100719,2
101068,2
101303,6
100860,2
100833,2
100480,2
100524,2
100910,2
100114,2
100464,2
100846,2
100301,2
100429,2
101158,2
100767,2
100651,4
100950,2
100137,4
100339,4
100309,2
101052,2
100979,2
100915,2
100175,2
100195,2
101118,2
101286,2
100894,2
100621,2
100326,2
101104,2
100625,2
100584,4
100624,2
101192,4
100689,2
100043,2
100880,2
100819,2
101069,6
101283,2
101078,2
100282,2
100868,2
100536,2
101103,2
101255,2
100485,2
100496,2
101308,2
100820,4
100953,2
100566,2
100424,2
101077,2
100774,2
100968,2
100745,2
100069,4
100324,2
100920,2
100494,2
100420,2
100208,2
100618,2
100943,2
100724,2
100727,2
100659,4
100646,2
101198,2
100325,2
100633,2
100738,4
100912,2
100859,2
100135,2
100434,2
101155,2
101291,2
100029,4
101082,4
100360,4
101170,2
100700,2
101266,2
100260,4
100938,6
100161,4
100844,2
100459,2
100704,6
100679,4
100327,2
100956,2
100018,4
100393,2
100221,2
100779,2
100835,2
100553,2
100691,2
101015,2
101111,2
100096,2
100479,2
101013,2
100726,2
100678,2
101043,2
101122,2
100578,4
100014,4
100088,4
100366,2
100437,2
101251,2
100822,4
100683,2
101100,4
100240,4
100795,2
100243,2
100146,4
100423,2
100931,2
100472,4
100407,2
100041,4
101050,2
100012,4
100712,2
101216,6
101165,2
100209,2
100532,4
100185,2
101184,2
100349,2
101049,2
100422,2
100513,2
100805,2
101278,2
100290,2
100440,2
100136,4
100280,2
100569,2
100411,4
100608,2
100742,2
101262,6
101302,6
101125,2
100592,2
101277,2
100889,2
100133,2
100084,2
100122,4
100616,2
100658,2
101322,2
100206,2
101056,2
101112,2
100487,2
101025,2
100000,4
100273,2
101290,6
100297,2
101014,2
100744,2
100788,6
100361,2
100565,2
100346,2
101191,2
100801,2
101000,2
100648,2
100769,2
100593,2
100803,2
100529,2
100622,2
100909,2
100201,2
100131,4
101098,2
101123,6
101228,2
100644,2
100433,4
100375,2
100187,2
100152,4
100159,4
100511,2
100289,2
100898,2
101180,2
100399,4
100604,2
100626,4
100958,2
100038,4
100611,2
101208,2
100234,2
100049,4
100619,2
100554,2
101193,2
100755,2
100948,2
100340,2
100901,2
100827,2
100500,2
100225,4
100465,2
101117,6
101211,2
100964,2
100482,2
100717,2
101259,4
101232,2
101276,2
101243,2
100263,2
101030,2
101072,2
101177,2
101183,2
100460,4
100123,2
101314,2
100725,2
101045,2
100239,2
100942,6
